,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Eloy Room,GK,37-116,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sherel Floranus,"DF,MF",27-283,10,10,888,9.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Juninho Bacuna,"MF,FW",28-299,11,11,887,9.9,3,2,5,3,0,0,1,0,0.30,0.20,0.51,0.30,0.51,Matches
Leandro Bacuna,MF,34-285,10,10,838,9.3,1,3,4,0,1,1,1,0,0.11,0.32,0.43,0.00,0.32,Matches
Juriën Gaari,DF,32-161,10,8,732,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kenji Gorré,"FW,MF",31-246,8,7,630,7.0,3,3,6,3,0,0,0,0,0.43,0.43,0.86,0.43,0.86,Matches
Livano Comenencia,MF,22-119,9,8,587,6.5,1,1,2,1,0,0,1,0,0.15,0.15,0.31,0.15,0.31,Matches
Roshon van Eijma,DF,27-358,7,6,541,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches
Shurandy Sambo,"DF,MF",24-287,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jearl Margaritha,"FW,MF",26-053,8,6,511,5.7,1,3,4,1,0,0,0,0,0.18,0.53,0.70,0.18,0.70,Matches
Joshua Brenet,"DF,MF",32-074,6,5,468,5.2,0,2,2,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
Jürgen Locadia,FW,32-207,8,4,435,4.8,0,2,2,0,0,0,0,1,0.00,0.41,0.41,0.00,0.41,Matches
Armando Obispo,DF,27-089,5,5,432,4.8,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Jeremy Antonisse,FW,24-065,8,3,316,3.5,1,1,2,1,0,0,1,0,0.28,0.28,0.57,0.28,0.57,Matches
Gervane Kastaneer,FW,29-358,7,4,269,3.0,5,0,5,5,0,0,3,0,1.67,0.00,1.67,1.67,1.67,Matches
Godfried Roemeratoe,MF,26-287,9,2,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Sontje Hansen,FW,24-021,3,3,215,2.4,1,0,1,1,0,0,1,0,0.42,0.00,0.42,0.42,0.42,Matches
Tahith Chong,MF,26-180,3,2,206,2.3,3,1,4,3,0,0,1,0,1.31,0.44,1.75,1.31,1.75,Matches
Riechedly Bazoer,DF,29-233,3,3,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rangelo Janga,FW,34-047,2,2,155,1.7,3,0,3,2,1,1,0,0,1.74,0.00,1.74,1.16,1.16,Matches
Cuco Martina,DF,36-250,3,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tyrese Noslin,MF,23-264,4,0,95,1.1,1,0,1,1,0,0,0,0,0.95,0.00,0.95,0.95,0.95,Matches
Deveron Fonville,DF,23-017,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Markelo,DF,27-146,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Felida,MF,26-203,3,0,75,0.8,1,0,1,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,Matches
Brandley Kuwas,MF,33-256,3,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rayvien Rosario,MF,22-052,2,0,57,0.6,0,2,2,0,0,0,0,0,0.00,3.16,3.16,0.00,3.16,Matches
Ar'jany Martha,"DF,FW",22-271,2,0,51,0.6,1,0,1,1,0,0,0,0,1.76,0.00,1.76,1.76,1.76,Matches
Xander Severina,FW,25-051,2,1,51,0.6,1,0,1,1,0,0,0,0,1.76,0.00,1.76,1.76,1.76,Matches
Jordi Paulina,FW,21-252,2,0,46,0.5,2,0,2,1,1,1,0,0,3.91,0.00,3.91,1.96,1.96,Matches
Joshua Zimmerman,MF,25-010,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Justin Ogenia,"DF,MF",27-117,0,0,,,,,,,,,,,,,,,,Matches
Vurnon Anita,"DF,MF",37-059,0,0,,,,,,,,,,,,,,,,Matches
Tyrick Bodak,GK,24-018,0,0,,,,,,,,,,,,,,,,Matches
Trevor Doornbusch,GK,26-331,0,0,,,,,,,,,,,,,,,,Matches
Jurich Carolina,DF,27-322,0,0,,,,,,,,,,,,,,,,Matches
Nino Fancito,GK,21-245,0,0,,,,,,,,,,,,,,,,Matches
Shanon Carmelia,"DF,MF",37-074,0,0,,,,,,,,,,,,,,,,Matches
Jayden Candelaria,DF,22-092,0,0,,,,,,,,,,,,,,,,Matches
Tyrique Mercera,DF,22-165,0,0,,,,,,,,,,,,,,,,Matches
Leandro Merencia,GK,20-336,0,0,,,,,,,,,,,,,,,,Matches
