,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ricardo Adé,DF,35,10,10,899,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Frantzdy Pierrot,FW,30,10,10,746,8.3,2,1,3,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches
Carlens Arcus,DF,29,9,9,749,8.3,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
Danley Jean-Jacques,MF,25,9,8,755,8.4,2,3,5,2,0,0,2,0,0.24,0.36,0.60,0.24,0.60,Matches
Duke Lacroix,DF,32,8,8,720,8.0,1,2,3,1,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches
Johny Placide,GK,38,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Kevin Duverne,DF,28,7,7,630,7.0,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
Leverton Pierre,MF,27,9,6,594,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Ricner Bellegarde,MF,27,6,6,524,5.8,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
Duckens Nazon,FW,31,10,5,590,6.6,6,2,8,6,0,1,1,0,0.92,0.31,1.22,0.92,1.22,Matches
Louicius Deedson,"FW,MF",24,10,5,424,4.7,4,0,4,4,0,0,0,0,0.85,0.00,0.85,0.85,0.85,Matches
Ruben Providence,MF,24,7,4,415,4.6,2,1,3,2,0,0,0,0,0.43,0.22,0.65,0.43,0.65,Matches
Josué Casimir,MF,24,4,4,320,3.6,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches
Fafà Picault,"MF,FW",34,4,4,304,3.4,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches
Hannes Delcroix,DF,26,3,2,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Expérience,DF,26,4,2,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Garven Metusala,DF,26,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Attys,MF,24,6,2,134,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Derrick Etienne,MF,29,3,2,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Carl Fred Sainté,MF,23,5,2,119,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Josué Duverger,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexandre Pierre,GK,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yassin Fortune,FW,27,2,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dany Jean,MF,23,2,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Belmar Joseph,MF,20,2,0,51,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mikaël Cantave,MF,29,2,0,50,0.6,0,1,1,0,0,0,0,0,0.00,1.80,1.80,0.00,1.80,Matches
Wilguens Paugain,DF,24,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bryan Labissiere,MF,28,1,0,28,0.3,1,0,1,1,0,0,0,0,3.21,0.00,3.21,3.21,3.21,Matches
Mondy Prunier,FW,26,2,0,22,0.2,1,0,1,1,0,0,0,0,4.09,0.00,4.09,4.09,4.09,Matches
Téo Michel,MF,21,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stéphane Lambèse,DF,30,2,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Woobens Pacius,FW,24,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
François Dulysse,DF,26,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Keeto Thermoncy,DF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tony Algarin,GK,19,0,0,,,,,,,,,,,,,,,,Matches
Jerry Desdunes,MF,24,0,0,,,,,,,,,,,,,,,,Matches
Gooly Elien,GK,25,0,0,,,,,,,,,,,,,,,,Matches
Garissone Innocent,GK,25,0,0,,,,,,,,,,,,,,,,Matches
Grant Leveille,GK,17,0,0,,,,,,,,,,,,,,,,Mat
