,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Amir Al Ammari,MF,28-310,19,17,"1,537",17.1,2,4,6,1,1,1,2,0,0.12,0.23,0.35,0.06,0.29,Matches
Jalal Hassan,GK,35-015,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Merchas Doski,DF,26-177,16,16,"1,440",16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Bayesh,MF,26-032,19,16,"1,428",15.9,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches
Ali Jasim,MF,22-133,21,15,"1,389",15.4,2,4,6,2,0,0,0,0,0.13,0.26,0.39,0.13,0.39,Matches
Hussein Ali,DF,24-093,19,16,"1,379",15.3,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Rebin Sulaka,DF,34-051,16,15,"1,246",13.8,0,1,1,0,0,0,1,1,0.00,0.07,0.07,0.00,0.07,Matches
Ayman Hussein,FW,30-072,16,14,"1,182",13.1,9,0,9,7,2,3,2,0,0.69,0.00,0.69,0.53,0.53,Matches
Zaid Tahseen,DF,25-124,15,14,"1,145",12.7,1,0,1,1,0,0,2,1,0.08,0.00,0.08,0.08,0.08,Matches
Youssef Amyn,"MF,FW",22-285,17,9,915,10.2,2,1,3,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,Matches
Mohanad Ali,FW,25-347,18,7,720,8.0,2,1,3,2,0,1,1,0,0.25,0.12,0.37,0.25,0.37,Matches
Zidane Iqbal,MF,23-036,13,7,679,7.5,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
Osama Rashid,MF,34-140,9,9,657,7.3,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
Munaf Yunus,DF,29-198,10,6,618,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Yahya,"DF,MF",30-336,8,6,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Basil,GK,29-287,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Akam Hashim,DF,27-290,8,5,442,4.9,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
Aimar Sher,MF,23-164,6,5,348,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Farji,MF,22-078,6,4,335,3.7,0,1,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches
Amjad Attwan,MF,29-082,6,3,332,3.7,0,1,1,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,Matches
Mustafa Saadoon,"DF,MF",25-008,8,4,310,3.4,0,1,1,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches
Frans Dhia Putros,DF,32-323,7,2,293,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bashar Resan,MF,29-162,5,5,286,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
Ali Al Hamadi,"FW,MF",24-093,8,5,285,3.2,3,0,3,3,0,0,0,1,0.95,0.00,0.95,0.95,0.95,Matches
Ali Adnan Kadhim,DF,32-165,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Saad Natiq,DF,32-075,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Yakob,MF,25-235,4,2,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Safaa Hadi,MF,27-238,3,2,142,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Yasin Ghani,MF,35-041,5,1,122,1.4,0,1,1,0,0,0,0,0,0.00,0.74,0.74,0.00,0.74,Matches
Mohamed Al Taay,MF,25-352,4,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Peter Gwargis,MF,25-271,2,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Faez,DF,31-266,3,1,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sherko Karim,"MF,FW",30-008,3,2,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luay Al Ani,MF,28-325,3,1,104,1.2,0,1,1,0,0,0,1,0,0.00,0.87,0.87,0.00,0.87,Matches
Saad Abdul-Amir,MF,34-134,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Yousif,FW,30-134,3,1,92,1.0,1,0,1,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98,Matches
Zaid Ismael,MF,24-150,2,0,84,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Dhurgham Ismail,DF,32-010,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Shlimon,MF,23-107,3,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Qasem,MF,22-325,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hasan Abdulkareem,MF,27-152,4,0,60,0.7,0,1,1,0,0,0,0,0,0.00,1.50,1.50,0.00,1.50,Matches
Mohammed Qasim,MF,29-178,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Maknazi,DF,24-251,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fahad Talib,GK,31-224,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maytham Jabbar,DF,25-204,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kumel Al Rekabe,GK,21-287,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sajjad Jasim,MF,28-146,2,0,39,0.4,1,0,1,1,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches
Jussef Nasrawe,MF,19-072,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dario Naamo,DF,21-019,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Danilo Al Saed,FW,27-098,2,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Match
