,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yazeed Abulaila,GK,33-145,17,17,"1,496",16.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yazan Al-Naimat,FW,26-363,16,15,"1,346",15.0,8,5,13,7,1,1,0,0,0.53,0.33,0.87,0.47,0.80,Matches
Yazan Al-Arab,DF,30-122,15,15,"1,346",15.0,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Abdallah Nasib,DF,32-097,14,14,"1,260",14.0,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Ihsan Haddad,"MF,DF",32-117,14,14,"1,217",13.5,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
Nizar Al Rashdan,MF,27-071,15,15,"1,188",13.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Olwan,"FW,MF",26-068,14,14,"1,186",13.2,9,1,10,6,3,3,0,0,0.68,0.08,0.76,0.46,0.53,Matches
Musa Al-Taamari,"FW,MF",28-357,14,13,"1,096",12.2,7,3,10,7,0,1,1,0,0.57,0.25,0.82,0.57,0.82,Matches
Mahmoud Al-Mardi,"MF,FW",32-239,15,13,"1,027",11.4,1,7,8,1,0,0,2,0,0.09,0.61,0.70,0.09,0.70,Matches
Noor Al Rawabdeh,MF,29-098,13,11,"1,000",11.1,2,2,4,2,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches
Mohannad Abu Taha,MF,23-120,12,9,749,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammad Abu Al Nadi,DF,25-114,8,7,554,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammad Abu Hasheesh,"MF,DF",31-024,12,5,523,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Salem Al-Ajalin,DF,38-104,6,5,451,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Sa'deh,MF,26-036,12,4,427,4.7,1,1,2,1,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
Rajaei Ayed,MF,32-312,8,3,299,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Amer Jamous,MF,23-334,4,3,288,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Husam Abu Dahab,DF,26-020,4,3,259,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Saleem Obaid,DF,34-136,3,1,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Velibor Djuric,MF,44-028,2,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bara' Marei,DF,32-050,2,2,161,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Saed Al Rosan,DF,29-121,3,2,136,1.5,1,0,1,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches
Mohammad Shararah,FW,28-154,7,0,60,0.7,1,0,1,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,Matches
Anas Bedoui,DF,28-262,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Odeh Fakhoury,MF,20-192,1,0,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches
Mustafa Kamal,MF,31-110,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdallah Al Fakhori,GK,26-131,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Azaizeh,MF,22-050,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yousef Abu Al Jazar,DF,26-220,4,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Sabra,FW,20-121,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sisa,MF,27-352,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Saleh Rateb,MF,31-166,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adham Al Quraishi,DF,31-087,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammad Al-Dawud,"FW,MF",34-051,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Reziq Bani Hani,FW,24-125,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdullah Al-Attar,"DF,FW",33-241,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yousef Qashi,MF,21-048,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
