,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Zion Suzuki,GK,23-282,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ko Itakura,DF,29-123,11,10,891,9.9,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches
Koki Machida,DF,28-278,11,10,870,9.7,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Wataru Endo,MF,33-110,11,10,859,9.5,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches
Ritsu Doan,"MF,FW",27-348,14,11,819,9.1,3,3,6,3,0,0,1,0,0.33,0.33,0.66,0.33,0.66,Matches
Ayase Ueda,FW,27-262,11,10,778,8.6,8,2,10,7,1,1,0,0,0.93,0.23,1.16,0.81,1.04,Matches
Daichi Kamada,MF,29-298,14,9,750,8.3,5,1,6,5,0,0,1,0,0.60,0.12,0.72,0.60,0.72,Matches
Shogo Taniguchi,DF,34-319,10,8,737,8.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hidemasa Morita,MF,31-020,10,9,735,8.2,3,2,5,3,0,0,0,0,0.37,0.24,0.61,0.37,0.61,Matches
Takumi Minamino,MF,31-134,12,10,699,7.8,4,2,6,4,0,0,1,0,0.52,0.26,0.77,0.52,0.77,Matches
Ao Tanaka,MF,27-262,11,7,692,7.7,1,1,2,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,Matches
Takefusa Kubo,MF,24-360,11,8,653,7.3,4,8,12,4,0,0,1,0,0.55,1.10,1.65,0.55,1.65,Matches
Hiroki Ito,DF,27-018,8,7,605,6.7,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Kaoru Mitoma,MF,29-010,9,7,589,6.5,2,3,5,2,0,0,1,0,0.31,0.46,0.76,0.31,0.76,Matches
Keito Nakamura,"MF,DF",25-306,12,5,524,5.8,2,2,4,2,0,0,0,0,0.34,0.34,0.69,0.34,0.69,Matches
Junya Ito,MF,33-082,11,3,507,5.6,2,10,12,2,0,0,0,0,0.36,1.78,2.13,0.36,2.13,Matches
Ayumu Seko,DF,25-357,6,4,417,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Yukinari Sugawara,"MF,DF",25-336,7,5,387,4.3,2,0,2,2,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
Daizen Maeda,"MF,FW",28-222,8,3,360,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
Koki Ogawa,FW,28-295,9,3,341,3.8,6,1,7,6,0,0,1,0,1.58,0.26,1.85,1.58,1.85,Matches
Kaishu Sano,MF,25-151,4,3,288,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tsuyoshi Watanabe,DF,29-114,4,3,249,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Keisuke Ōsako,GK,26-306,3,3,245,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daiki Hashioka,DF,27-013,5,2,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kōta Takai,DF,21-268,4,2,221,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yuito Suzuki,MF,24-217,4,2,207,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joel Fujita,MF,24-103,2,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Takehiro Tomiyasu,DF,27-206,2,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Junnosuke Suzuki,DF,22-322,3,1,155,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Yuki Soma,FW,29-094,3,1,148,1.6,1,1,2,0,1,1,0,0,0.61,0.61,1.22,0.00,0.61,Matches
Shuto Machino,FW,26-242,4,1,114,1.3,1,2,3,1,0,0,0,0,0.79,1.58,2.37,0.79,2.37,Matches
Kosei Tani,GK,25-189,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daiya Maekawa,GK,31-264,2,1,100,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Takuma Asano,MF,31-201,3,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yuta Nakayama,DF,29-103,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Seiya Maikuma,DF,28-226,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yu Hirakawa,MF,25-147,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hiroki Sekine,DF,23-292,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yuki Ohashi,FW,29-307,2,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kota Tawaratsumida,MF,22-016,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kodai Sano,MF,22-247,2,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Reo Hatate,MF,28-190,3,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mao Hosoya,FW,24-265,3,0,71,0.8,2,0,2,2,0,0,0,0,2.54,0.00,2.54,2.54,2.54,Matches
