,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yassine Bounou,GK,35-057,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Achraf Hakimi,DF,27-209,8,8,695,7.7,0,6,6,0,0,1,2,0,0.00,0.78,0.78,0.00,0.78,Matches
Nayef Aguerd,DF,30-063,7,7,630,7.0,1,2,3,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches
Brahim Díaz,"MF,FW",26-302,8,7,612,6.8,1,2,3,0,1,1,1,0,0.15,0.29,0.44,0.00,0.29,Matches
Sofyan Amrabat,MF,29-284,6,6,527,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Neil El Aynaoui,MF,24-334,5,5,450,5.0,2,0,2,2,0,1,1,0,0.40,0.00,0.40,0.40,0.40,Matches
Youssef En-Nesyri,FW,29-000,7,5,439,4.9,2,1,3,2,0,0,0,0,0.41,0.21,0.62,0.41,0.62,Matches
Bilal El Khannouss,MF,22-022,9,4,414,4.6,2,0,2,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches
Eliesse Ben Seghir,"MF,FW",21-105,7,6,394,4.4,1,1,2,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
Ismael Saibari,MF,25-124,7,4,380,4.2,3,0,3,3,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches
Noussair Mazraoui,DF,28-199,4,4,351,3.9,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
Jawad El Yamiq,DF,34-092,4,4,333,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Azzedine Ounahi,MF,26-043,6,4,303,3.4,2,2,4,2,0,0,0,0,0.59,0.59,1.19,0.59,1.19,Matches
Abde Ezzalzouli,MF,24-166,6,3,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Youssef Belammari,DF,27-254,3,3,246,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches
Ayoub El Kaabi,FW,32-340,7,2,241,2.7,4,0,4,4,0,0,0,0,1.49,0.00,1.49,1.49,1.49,Matches
Soufiane Rahimi,MF,29-364,6,2,215,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches
Hakim Ziyech,MF,33-074,3,3,210,2.3,2,0,2,1,1,1,1,0,0.86,0.00,0.86,0.43,0.43,Matches
Adam Masina,DF,32-150,3,2,206,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Igamane,"MF,FW",23-211,4,2,183,2.0,2,1,3,2,0,0,0,0,0.98,0.49,1.48,0.98,1.48,Matches
Chadi Riad,DF,22-349,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Yahya Attiat Allah,DF,31-091,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Romain Saïss,DF,36-067,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Issa Diop,DF,29-143,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Amine Adli,MF,26-022,6,1,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Souffian El Karouani,DF,25-225,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
