,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Michael Amir Murillo,"DF,MF",30-111,10,9,848,9.4,0,3,3,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches
Orlando Mosquera,GK,31-159,9,8,769,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fidel Escobar,DF,31-144,9,9,768,8.5,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
Adalberto Carrasquilla,MF,27-186,10,8,756,8.4,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches
Andrés Andrade Cedeño,DF,27-229,9,8,711,7.9,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
Erick Davis,"DF,MF",35-063,11,8,692,7.7,2,2,4,1,1,1,1,0,0.26,0.26,0.52,0.13,0.39,Matches
Carlos Harvey,"DF,MF",26-119,9,7,677,7.5,2,1,3,2,0,0,0,0,0.27,0.13,0.40,0.27,0.40,Matches
José Luis Rodríguez,MF,27-348,11,7,649,7.2,3,2,5,3,0,0,3,0,0.42,0.28,0.69,0.42,0.69,Matches
Aníbal Godoy,MF,36-112,10,8,634,7.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Cristian Martínez,MF,29-116,11,7,620,6.9,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
Édgar Yoel Bárcenas,MF,32-222,9,7,565,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
Ismael Díaz,MF,29-021,8,7,547,6.1,2,0,2,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
José Fajardo,FW,32-288,11,3,517,5.7,3,0,3,3,0,0,1,0,0.52,0.00,0.52,0.52,0.52,Matches
José Cordoba,DF,25-088,7,7,505,5.6,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
César Blackman,"MF,DF",28-061,8,5,458,5.1,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
Cecilio Waterman,FW,35-050,11,7,434,4.8,2,1,3,2,0,0,0,0,0.41,0.21,0.62,0.41,0.62,Matches
Luis Mejía,GK,35-078,5,5,401,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorge Gutiérrez,DF,27-274,7,3,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
César Yanis,MF,30-125,4,3,315,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
Jiovany Ramos,DF,29-127,4,2,266,3.0,1,0,1,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches
Azarias Londoño,MF,24-346,4,2,189,2.1,0,2,2,0,0,0,0,0,0.00,0.95,0.95,0.00,0.95,Matches
Roderick Miller,DF,34-060,4,2,165,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Eduardo Guerrero,FW,26-101,3,2,154,1.7,1,1,2,1,0,0,0,0,0.58,0.58,1.17,0.58,1.17,Matches
Tomas Rodriguez,FW,27-085,4,1,138,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Edgardo Fariña,DF,24-226,3,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Edward Cedeño,MF,22-332,4,1,97,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Victor Griffith,MF,25-172,2,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eduardo Anderson,DF,25-122,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Janpol Morales,MF,27-345,2,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kadir Barría,FW,18-319,2,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Martín Krug,DF,19-328,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jovani Welch,MF,26-167,2,1,53,0.6,1,0,1,1,0,0,0,0,1.70,0.00,1.70,1.70,1.70,Matches
Alberto Quintero,"FW,MF",38-166,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Omar Browne,FW,32-030,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Freddy Góndola,MF,30-257,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Everardo Rose,FW,26-314,1,0,7,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Iván Anderson,DF,28-190,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdiel Ayarza,MF,33-263,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
César Samudio,GK,32-099,0,0,,,,,,,,,,,,,,,,Matches
José Murillo,DF,31-098,0,0,,,,,,,,,,,,,,,,Matches
John David Gunn,GK,26-132,0,0,,,,,,,,,,,,,,,,
