,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Akram Afif,"MF,FW",29-196,17,17,"1,440",16.0,4,11,15,3,1,1,1,0,0.25,0.69,0.94,0.19,0.87,Matches
Meshaal Barsham,GK,28-108,13,13,"1,149",12.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Almoez Ali,FW,29-287,15,13,"1,111",12.3,12,1,13,10,2,2,3,1,0.97,0.08,1.05,0.81,0.89,Matches
Ahmed Fathy,MF,33-128,14,13,"1,003",11.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Mendes,DF,35-334,14,11,994,11.0,1,1,2,1,0,0,0,1,0.09,0.09,0.18,0.09,0.18,Matches
Homam Ahmed,"DF,MF",26-281,14,10,899,10.0,0,4,4,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches
Ró-Ró,DF,35-300,10,10,870,9.7,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
Boualem Khoukhi,DF,35-328,10,10,767,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches
Tarek Salman,DF,28-179,11,9,757,8.4,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Jassem Gaber,MF,24-102,11,7,634,7.0,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
Edmilson Junior,MF,31-287,10,7,563,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mostafa Meshaal,MF,25-066,8,5,531,5.9,2,1,3,2,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches
Ahmed Al Rawi,FW,22-003,8,4,466,5.2,3,0,3,3,0,0,2,0,0.58,0.00,0.58,0.58,0.58,Matches
Abdulaziz Hatem,MF,35-217,9,4,461,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ismaeel Mohammad,"DF,MF",36-058,9,3,460,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Al Ganehi,"MF,FW",25-253,10,6,449,5.0,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
Ibrahim Al Hassan,"MF,FW",20-219,8,6,442,4.9,2,1,3,2,0,0,1,0,0.41,0.20,0.61,0.41,0.61,Matches
Assim Madibo,MF,29-223,5,4,374,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammed Waad,"MF,DF",26-257,8,4,362,4.0,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
