,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Salem Al-Dawsari,"MF,FW",34-286,15,15,"1,313",14.6,2,1,3,2,0,3,0,0,0.14,0.07,0.21,0.14,0.21,Matches
Firas Al-Buraikan,FW,26-018,18,16,"1,294",14.4,5,0,5,4,1,1,0,0,0.35,0.00,0.35,0.28,0.28,Matches
Hassan Al Tambakti,DF,27-112,15,14,"1,278",14.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Saud Abdulhamid,"MF,DF",26-318,16,12,"1,150",12.8,0,2,2,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches
Musab Al Juwayr,MF,22-346,17,13,976,10.8,3,3,6,3,0,0,0,0,0.28,0.28,0.55,0.28,0.55,Matches
Ali Lajami,DF,30-038,12,10,889,9.9,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
Mohamed Kanno,MF,31-252,13,11,863,9.6,0,1,1,0,0,0,5,2,0.00,0.10,0.10,0.00,0.10,Matches
Mohammed Al-Owais,GK,34-234,10,10,844,9.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nasser Al-Dawsari,MF,27-164,13,9,836,9.3,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
Hassan Kadesh,"DF,MF",33-268,13,10,832,9.2,2,0,2,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches
Ali Al-Bulaihi,DF,36-192,7,7,630,7.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Nawaf Al Aqidi,GK,26-022,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nawaf Boushal,DF,26-258,8,7,603,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Marwan Al Sahafi,"FW,MF",22-104,10,5,527,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aiman Yahya,"FW,MF",25-018,9,7,502,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Faisal Al Ghamdi,MF,24-292,10,5,486,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdullah Al-Khaibari,MF,29-289,9,5,435,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Al-Kassar,GK,35-024,5,4,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Saleh Al-Shehri,FW,32-212,12,4,395,4.4,4,0,4,3,1,1,0,0,0.91,0.00,0.91,0.68,0.68,Matches
Abdullah Radif,FW,23-132,10,3,378,4.2,1,0,1,1,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches
Awn Al Saluli,DF,27-272,7,4,375,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mukhtar Ali,MF,28-214,6,4,372,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
Rayan Hamidou,DF,24-049,5,4,344,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdullah Al Hamdan,MF,26-261,10,2,322,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
Abdulellah Al-Malki,MF,31-233,5,4,316,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Moteb Al-Harbi,"MF,DF",26-101,5,4,315,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ziyad Al Johani,MF,24-202,6,3,287,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jehad Thakri,DF,24-315,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdulrahman Ghareeb,FW,29-062,8,2,264,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches
Ali Majrashi,DF,26-242,5,2,248,2.8,0,1,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches
