,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Hwang In-beom,MF,29-254,16,15,"1,314",14.6,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Jo Hyeon-woo,GK,34-249,15,15,"1,305",14.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Kang-in,"MF,FW",25-102,17,14,"1,271",14.1,5,6,11,5,0,0,1,0,0.35,0.42,0.78,0.35,0.78,Matches
Seol Young-woo,DF,27-178,17,14,"1,240",13.8,0,3,3,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
Son Heung-min,"MF,FW",33-328,16,14,"1,239",13.8,12,4,16,9,3,3,0,0,0.87,0.29,1.16,0.65,0.94,Matches
Lee Jae-sung,MF,33-295,18,14,"1,162",12.9,5,3,8,5,0,0,1,0,0.39,0.23,0.62,0.39,0.62,Matches
Kim Min-jae,DF,29-198,13,12,"1,110",12.3,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
Cho Yumin,DF,29-196,11,11,908,10.1,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Park Yong-woo,MF,32-264,10,9,753,8.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Hwang Hee-chan,"MF,FW",30-126,14,9,718,8.0,5,0,5,4,1,1,0,0,0.63,0.00,0.63,0.50,0.50,Matches
Lee Myung-jae,DF,32-209,7,5,465,5.2,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
Kwon Kyung-won,DF,34-121,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Taeseok,DF,23-308,6,5,435,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Oh Sehun,FW,27-137,9,5,426,4.7,2,0,2,2,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches
Bae Junho,MF,22-284,10,4,379,4.2,2,4,6,2,0,0,0,0,0.47,0.95,1.42,0.47,1.42,Matches
Paik Seung-ho,MF,29-076,9,5,375,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kim Jin-su,DF,33-353,5,4,369,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
Joo Min-kyu,FW,36-049,9,5,351,3.9,2,3,5,2,0,0,0,0,0.51,0.77,1.28,0.51,1.28,Matches
Kim Seung-gyu,GK,35-244,4,3,315,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oh Hyeon-gyu,FW,25-050,11,2,306,3.4,4,0,4,4,0,0,1,0,1.18,0.00,1.18,1.18,1.18,Matches
Lee Hanbeom,DF,23-349,4,3,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jung Woo-young,MF,36-169,4,3,276,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jung Seung-hyun,DF,32-059,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
Cho Gue-sung,FW,28-127,6,3,269,3.0,3,1,4,3,0,0,1,0,1.00,0.33,1.34,1.00,1.34,Matches
Kim Young-gwon,DF,36-094,3,3,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kim Jin-kyu,MF,29-097,4,3,223,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
Kim Moonhwan,DF,30-304,4,3,196,2.2,0,1,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches
