,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Montassar Talbi,DF,27,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Abdi,DF,32,8,8,718,8.0,1,3,4,0,1,1,0,0,0.13,0.38,0.50,0.00,0.38,Matches
Aïssa Laïdouni,MF,29,8,7,494,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aymen Dahmen,GK,29,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ellyes Skhiri,MF,30,6,5,495,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Naïm Sliti,"MF,FW",33,8,5,465,5.2,0,3,3,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,Matches
Elias Achouri,"MF,FW",26,6,5,451,5.0,1,0,1,0,1,1,0,0,0.20,0.00,0.20,0.00,0.00,Matches
Dylan Bronn,DF,30,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Yassine Meriah,DF,32,5,5,450,5.0,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
Hannibal Mejbri,MF,23,6,5,430,4.8,1,1,2,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
Hazem Mastouri,FW,28,6,5,393,4.4,2,1,3,2,0,0,0,0,0.46,0.23,0.69,0.46,0.69,Matches
Elias Saad,"MF,FW",26,6,5,291,3.2,3,0,3,3,0,0,0,0,0.93,0.00,0.93,0.93,0.93,Matches
Bechir Ben Said,GK,33,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Yan Valery,DF,26,4,4,360,4.0,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
Ferjani Sassi,MF,33,6,4,347,3.9,2,0,2,2,0,0,2,0,0.52,0.00,0.52,0.52,0.52,Matches
Hamza Rafia,"MF,FW",26,3,3,237,2.6,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,Matches
Mortadha Ben Ouanes,DF,31,4,2,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Ali Ben Romdhane,MF,26,5,2,205,2.3,4,0,4,2,2,2,3,0,1.76,0.00,1.76,0.88,0.88,Matches
Haythem Jouini,FW,32,4,2,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mahmoud Ghorbel,DF,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wajdi Kechrida,DF,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Mathlouthi,DF,33,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Youssef Msakni,FW,35,2,2,179,2.0,2,0,2,1,1,1,0,0,1.01,0.00,1.01,0.50,0.50,Matches
Anis Ben Slimane,MF,24,2,2,133,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sayfallah Ltaief,MF,25,6,1,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ismaël Gharbi,MF,21,4,1,177,2.0,1,0,1,1,0,0,1,0,0.51,0.00,0.51,0.51,0.51,Matches
Firas Chaouat,FW,29,4,1,120,1.3,1,1,2,1,0,0,1,0,0.75,0.75,1.50,0.75,1.50,Matches
Nader Ghandri,MF,30,4,1,100,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Taha Yassine Khenissi,FW,34,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Haj Mahmoud,MF,25,2,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Amor Layouni,MF,33,1,1,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sebastian Tounekti,MF,23,2,1,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ghaylène Chaalali,MF,31,1,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Firas Ben Arbi,MF,29,2,0,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches
Seifeddine Jaziri,FW,32,2,0,27,0.3,1,0,1,1,0,0,0,0,3.33,0.00,3.33,3.33,3.33,Matches
Houssem Tka,MF,25,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Moutaz Neffati,DF,21,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anas Haj Mohamed,FW,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Amine Cherni,"DF,MF",24,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wajdi Sahli,MF,28,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Jelassi,DF,34,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Raki Aouani,FW,21,0,0,,,,,,,,,,,,,,,,Matches
Hamza Ben Abda,DF,30,0,0,,,,,,,,,,,,,,,,Matches
Noureddine Farhati,GK,25,0,0,,,,,,,,,,,,,,,,Matches
Alaa Ghram,DF,24,0,0,,,,,,,,,,,,,,,,Matches
Oussama Haddadi,"DF,MF",34,0,0,,,,,,,,,,,,,,,,Matches
Mohamed Amine Ben Hamida,DF,30,0,0,,,,,,,,,,,,,,,,Matches
Mouez Hassen,GK,30,0,0,,,,,,,,,,,,,,,,Matches
Sami Helal,GK,37,0,0,,,,,,,,,,,,,,,,Matches
Hamza Khadhraoui,FW,27,0,0,,,,,,,,,,,,,,,,Matches
Amenallah Memmiche,GK,21,0,0,,,,,,,,,,,,,,,,Matches
Ghaith Zaalouni,DF,23,0,0,,,,,,,,,,,,,,,,Matches
Mootez Zaddem,MF,25,0,0,,,,,,,,,,,,,,,,Ma
