,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Christian Pulisic,"MF,FW",27-256,3,3,160,1.8,1,1,2,1,0,0,1,0,0.56,0.56,1.13,0.56,1.13,Matches
Antonee Robinson,DF,28-297,3,3,152,1.7,0,1,1,0,0,0,0,0,0.00,0.59,0.59,0.00,0.59,Matches
Sebastian Berhalter,MF,25-015,3,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Malik Tillman,MF,24-004,3,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Timothy Weah,"MF,DF",26-099,3,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Weston McKennie,MF,27-277,3,2,159,1.8,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches
Alex Freeman,DF,21-296,3,2,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mark McKenzie,DF,27-096,3,2,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tim Ream,DF,38-239,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Turner,GK,31-342,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Folarin Balogun,FW,24-333,3,1,138,1.5,1,0,1,1,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches
Auston Trusty,DF,27-293,2,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tanner Tessmann,MF,24-250,2,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Freese,GK,27-272,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Chris Richards,DF,26-065,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aidan Morris,MF,24-197,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gio Reyna,MF,23-200,3,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ricardo Pepi,FW,23-143,2,1,66,0.7,0,2,2,0,0,0,0,0,0.00,2.73,2.73,0.00,2.73,Matches
Tyler Adams,MF,27-107,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Johnny Cardoso,MF,24-254,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergiño Dest,MF,25-210,1,1,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches
Max Arfsten,MF,25-043,3,0,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cristian Roldan,MF,30-363,3,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Scally,"DF,MF",23-152,3,0,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick Agyemang,FW,25-206,2,0,65,0.7,1,0,1,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matches
Chris Brady,GK,22-090,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Miles Robinson,DF,29-079,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alejandro Zendejas,"FW,MF",28-114,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Brenden Aaronson,"FW,MF",25-222,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick Schulte,GK,25-080,0,0,,,,,,,,,,,,,,,,Matches
Haji Wright,"FW,MF",28-066,0,0,,,,,,,,,,,,,,,,Matches
