,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Odiljon Xamrobekov,MF,30-109,17,17,"1,505",16.7,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Utkir Yusupov,GK,35-149,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eldor Shomurodov,FW,30-338,16,16,"1,284",14.3,5,5,10,5,0,1,1,0,0.35,0.35,0.70,0.35,0.70,Matches
Otabek Shukurov,MF,29-345,15,15,"1,224",13.6,3,2,5,2,1,1,1,0,0.22,0.15,0.37,0.15,0.29,Matches
Abdukodir Khusanov,DF,22-093,15,13,"1,213",13.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Xusniddin Aliqulov,DF,27-059,14,13,"1,186",13.2,2,1,3,2,0,0,2,0,0.15,0.08,0.23,0.15,0.23,Matches
Jaloliddin Masharipov,"FW,MF",32-274,14,13,"1,120",12.4,1,4,5,1,0,0,3,0,0.08,0.32,0.40,0.08,0.40,Matches
Abbosbek Fayzullayev,"MF,FW",22-242,17,8,"1,031",11.5,4,2,6,4,0,0,1,0,0.35,0.17,0.52,0.35,0.52,Matches
Rustam Ashurmatov,DF,29-330,13,12,"1,022",11.4,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
Sherzod Nasrullayev,"MF,DF",27-314,12,10,916,10.2,1,2,3,1,0,0,2,0,0.10,0.20,0.29,0.10,0.29,Matches
Xojiakbar Alijonov,"MF,DF",29-044,12,10,907,10.1,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches
Farrukh Sayfiev,"MF,DF",35-136,12,10,834,9.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Umar Eshmurodov,DF,33-184,9,8,676,7.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Oston Urunov,"FW,MF",25-165,10,8,608,6.8,4,1,5,4,0,0,0,0,0.59,0.15,0.74,0.59,0.74,Matches
Aziz Turgʻunboyev,"MF,FW",31-244,9,7,533,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
Abdulla Abdullayev,DF,28-274,9,4,342,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Akmal Mozgovoy,MF,26-061,6,2,209,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Xojimat Erkinov,FW,25-004,10,2,192,2.1,2,0,2,2,0,0,1,0,0.94,0.00,0.94,0.94,0.94,Matches
Bobir Abdixolikov,FW,29-040,6,1,137,1.5,0,1,1,0,0,0,1,0,0.00,0.66,0.66,0.00,0.66,Matches
Abduvahid Neʻmatov,GK,25-074,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jamshid Iskanderov,"FW,MF",32-229,4,0,80,0.9,0,2,2,0,0,0,0,0,0.00,2.25,2.25,0.00,2.25,Matches
Azizbek Amonov,FW,28-215,4,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Igor Sergeev,FW,33-033,4,0,51,0.6,2,0,2,2,0,0,0,0,3.53,0.00,3.53,3.53,3.53,Matches
