iso_code,elo_rank,elo_rating,elo_peak
ESP,1,2165,2189
ARG,2,2113,2172
FRA,3,2081,2135
ENG,4,2020,2213
BRA,5,1984,2195
PRT,5,1984,2060
COL,7,1975,2069
NLD,8,1961,2153
ECU,9,1933,1934
HRV,10,1930,2015
DEU,11,1923,2223
NOR,12,1912,1944
JPN,13,1904,1913
TUR,14,1902,1902
URY,15,1892,2104
CHE,16,1889,1933
SEN,17,1878,1878
BEL,19,1867,2157
MEX,20,1860,1985
PRY,22,1833,1956
AUT,23,1827,2070
MAR,24,1822,1923
CAN,25,1784,1841
AUS,26,1783,1876
SCO,28,1767,2104
IRN,31,1760,1853
KOR,33,1752,1845
DZA,35,1743,1807
PAN,36,1737,1773
UZB,38,1727,1766
CZE,40,1726,2032
USA,41,1721,1890
SWE,43,1719,2013
EGY,46,1699,1872
JOR,51,1690,1701
CIV,52,1676,1863
COD,54,1655,1782
TUN,58,1636,1757
IRQ,63,1607,1740
BIH,66,1594,1806
NZL,68,1585,1640
SAU,71,1568,1735
CPV,72,1549,1579
HTI,77,1532,1673
ZAF,79,1524,1847
GHA,82,1503,1877
CUW,90,1436,1618
QAT,96,1423,1771
