iso_code,elo_rank,elo_rating,n_matches
ESP,1,2139.2,316
ARG,2,2167.9,316
FRA,3,2110.5,319
BRA,4,2037.0,335
ENG,5,2025.2,295
COL,6,2046.2,287
ECU,7,1913.0,284
JPN,8,1991.0,364
PRT,9,1990.2,307
MAR,10,1989.6,274
NLD,11,1981.4,294
MEX,12,1972.2,424
URY,13,1898.9,288
DEU,14,1965.0,328
HRV,15,1910.9,285
SEN,16,1855.1,275
NOR,17,1959.4,255
TUR,18,1813.7,288
CHE,19,1886.2,266
AUS,20,1891.7,262
IRN,21,1870.3,304
NGA,22,1881.9,292
CAN,23,1880.6,232
KOR,24,1872.5,359
PRY,25,1856.0,275
BEL,26,1857.3,264
DNK,27,1854.6,267
DZA,28,1797.2,269
PAN,29,1765.7,324
ITA,30,1842.5,303
UZB,31,1760.6,261
AUT,32,1845.3,239
EGY,33,1846.4,314
USA,34,1897.6,390
CIV,35,1814.0,277
RUS,36,1784.5,242
JOR,37,1778.7,348
VEN,38,1777.9,267
UKR,39,1774.7,259
COD,40,1769.7,240
SCO,41,1771.5,227
CHL,42,1750.8,291
IRQ,43,1708.2,348
CRI,44,1743.6,362
SRB,45,1741.4,262
TUN,46,1656.9,304
GRC,47,1737.4,262
PER,48,1719.5,269
CMR,49,1719.3,271
CZE,50,1693.3,267
MLI,51,1712.0,236
HND,52,1711.5,323
BOL,53,1706.7,220
NZL,54,1687.4,150
HTI,55,1666.1,225
SWE,56,1728.6,311
POL,57,1698.8,301
XKX,58,1698.8,103
WAL,59,1685.9,226
HUN,60,1685.0,250
IRL,61,1683.1,259
SAU,62,1690.5,374
ARE,63,1675.8,322
CPV,64,1718.4,171
SVN,65,1674.9,233
JAM,66,1670.3,309
GTM,67,1665.2,263
SVK,68,1656.5,257
BFA,69,1655.6,249
ZAF,70,1645.3,339
SYR,71,1635.2,283
GEO,72,1635.0,228
ALB,73,1632.8,231
GGY,74,1614.8,37
CUW,75,1618.9,147
ROU,76,1613.6,247
PSE,77,1612.2,202
GHA,78,1683.3,281
ISR,79,1611.5,200
OMN,80,1604.0,341
JEY,81,1603.3,33
REU,82,1603.3,46
SUR,83,1599.9,138
IMN,84,1590.1,17
GIN,85,1585.6,214
AGO,86,1582.7,253
NIR,87,1579.0,218
NCL,88,1576.5,94
MKD,89,1574.5,234
QAT,90,1582.3,369
THA,91,1569.8,291
BIH,92,1576.9,223
CHN,93,1562.1,281
ISL,94,1561.6,259
BHR,95,1556.8,374
BEN,96,1555.2,185
ZMB,97,1545.2,319
TTO,98,1544.0,314
GLP,99,1539.5,137
GMB,100,1539.5,131
LBY,101,1532.0,206
FIN,102,1530.3,265
NIC,103,1523.8,151
GUY,104,1521.0,146
MYS,105,1520.7,258
GAB,106,1519.6,199
PRK,107,1516.2,217
UGA,108,1512.8,290
MDG,109,1512.5,172
MCO,110,1511.0,8
NER,111,1510.9,156
VNM,112,1508.9,218
DOM,113,1507.1,117
BLR,114,1503.0,238
SLV,115,1501.3,280
MOZ,116,1500.6,221
IDN,117,1499.6,234
PNG,118,1494.7,63
MTQ,119,1486.5,143
KWT,120,1486.3,312
KEN,121,1480.8,259
TGO,122,1480.4,195
BGR,123,1478.2,224
KGZ,124,1477.8,148
SDN,125,1476.3,259
TJK,126,1476.1,167
SLE,127,1475.8,120
COM,128,1475.3,136
ZWE,129,1474.9,241
LBN,130,1474.8,223
VUT,131,1469.0,91
MYT,132,1461.4,36
FJI,133,1455.1,104
SHN,134,1453.5,2
GNQ,135,1452.6,146
KAZ,136,1446.6,210
GUF,137,1445.9,108
RWA,138,1444.9,220
MWI,139,1444.2,256
