iso_code,sq_npxg_per90,sq_xa_per90,sq_npxgxa_per90,sq_xg_chain_per90,sq_avg_minutes,sq_big5_coverage_pct,sq_players_in_big5
ARG,0.149,0.133,0.282,0.563,1888.7,88.5,23
AUS,0.101,0.097,0.198,0.286,1257.0,15.4,4
AUT,0.105,0.1,0.205,0.494,1353.5,72.0,18
BEL,0.168,0.158,0.326,0.549,2099.6,65.4,17
BIH,0.215,0.094,0.309,0.452,1618.7,23.1,6
BRA,0.232,0.193,0.425,0.672,2107.1,46.2,12
CAN,0.129,0.069,0.198,0.533,1364.3,24.0,6
CHE,0.131,0.082,0.213,0.469,1570.8,69.2,18
CIV,0.138,0.106,0.244,0.408,1620.6,61.5,16
COD,0.211,0.076,0.287,0.458,1953.5,23.1,6
COL,0.134,0.111,0.245,0.438,2016.1,34.6,9
CPV,0.086,0.034,0.12,0.387,1759.0,7.7,2
CUW,,,,,,0.0,0
CZE,0.24,0.056,0.296,0.42,1364.8,30.8,8
DEU,0.18,0.169,0.349,0.655,2055.2,96.2,25
DZA,0.202,0.147,0.349,0.675,1443.8,19.2,5
ECU,0.084,0.112,0.196,0.445,2416.0,11.5,3
EGY,0.469,0.351,0.82,1.073,1906.7,11.5,3
ENG,0.215,0.148,0.363,0.496,2194.6,80.8,21
ESP,0.161,0.157,0.318,0.581,2316.6,76.9,20
FRA,0.206,0.166,0.372,0.684,2403.3,76.9,20
GHA,0.159,0.12,0.279,0.443,1679.2,50.0,13
HRV,0.164,0.117,0.281,0.548,1796.9,57.7,15
HTI,0.082,0.132,0.214,0.363,1585.8,15.4,4
IRN,0.295,0.211,0.506,0.736,781.0,3.8,1
IRQ,0.489,0.072,0.561,0.634,98.0,3.8,1
JOR,,,,,,0.0,0
JPN,0.122,0.114,0.236,0.414,2128.8,42.3,11
KOR,0.188,0.237,0.425,0.835,2037.3,11.5,3
MAR,0.112,0.142,0.254,0.555,1303.5,38.5,10
MEX,0.209,0.078,0.287,0.377,2001.0,15.4,4
NLD,0.117,0.094,0.211,0.532,2116.8,69.2,18
NOR,0.269,0.097,0.366,0.491,2024.8,38.5,10
NZL,0.293,0.09,0.383,0.398,1917.0,11.5,3
PAN,,,,,,0.0,0
PRT,0.156,0.158,0.314,0.608,1963.4,73.1,19
PRY,0.13,0.083,0.213,0.286,1059.8,23.1,6
QAT,,,,,,0.0,0
SAU,0.006,0.164,0.17,0.497,208.0,3.8,1
SCO,0.174,0.097,0.271,0.419,1497.4,38.5,10
SEN,0.152,0.109,0.261,0.444,1895.3,57.7,15
SWE,0.153,0.098,0.251,0.436,1919.0,50.0,13
TUN,0.13,0.083,0.213,0.434,1824.5,15.4,4
TUR,0.179,0.297,0.476,0.695,1146.2,15.4,4
URY,0.083,0.062,0.145,0.483,1949.0,30.8,8
USA,0.123,0.108,0.231,0.446,1959.6,38.5,10
UZB,0.47,0.155,0.625,0.593,1082.0,3.8,1
ZAF,,,,,,0.0,0
