iso_code,tm_team_name,squad_value_m_eur,squad_avg_value_m_eur,squad_size,squad_avg_age,squad_value_rank,log_squad_value
FRA,France,1480.0,56.77,,26.0,1,7.300472814267799
ENG,England,1310.0,50.38,,26.0,2,7.1785454837637
ESP,Spain,1270.0,48.73,,26.0,3,7.147559271189454
DEU,Germany,998.0,38.38,,26.0,4,6.906754778648554
PRT,Portugal,957.0,36.81,,26.0,5,6.86484777797086
BRA,Brazil,909.2,34.97,,26.0,6,6.813664355582541
NLD,Netherlands,837.2,32.2,,26.0,7,6.731256735490971
ARG,Argentina,816.5,31.4,,26.0,8,6.706250902771409
NOR,Norway,601.0,23.12,,26.0,9,6.400257445308821
TUR,Turkiye,536.2,15.32,,35.0,10,6.286370464649083
BEL,Belgium,530.2,20.39,,26.0,11,6.275138598162224
CIV,Ivory Coast,525.9,20.23,,26.0,12,6.26701077721524
MAR,Morocco,487.2,18.74,,26.0,13,6.19072515795886
SEN,Senegal,468.0,16.71,,28.0,14,6.150602768446279
SWE,Sweden,436.38,16.78,,26.0,15,6.080802382460177
HRV,Croatia,385.7,14.83,,26.0,16,5.957649198613251
URY,Uruguay,371.1,13.25,,28.0,17,5.919162635352577
USA,United States,367.2,14.12,,26.0,18,5.908626268798978
CHE,Switzerland,331.1,12.73,,26.0,19,5.805436128382701
COL,Colombia,305.45,11.75,,26.0,20,5.725054609931741
JPN,Japan,279.05,10.34,,27.0,21,5.634968158655841
AUT,Austria,271.7,10.45,,26.0,22,5.608372289851543
ECU,Ecuador,257.05,7.56,,34.0,23,5.553153364594737
GHA,Ghana,234.75,8.38,,28.0,24,5.462771921513567
DZA,Algeria,226.8,8.72,,26.0,25,5.428468051013081
CAN,Canada,217.65,6.8,,32.0,26,5.3874722778589295
CZE,Czechia,196.23,6.77,,29.0,27,5.284370560415412
SCO,Scotland,196.23,7.55,,26.0,28,5.284370560415412
BIH,Bosnia-Herzegovina,149.5,5.54,,27.0,29,5.01396308418893
COD,Democratic Republic of the Congo,147.05,5.66,,26.0,30,4.997550054547601
KOR,South Korea,142.3,5.47,,26.0,31,4.964940334834126
PRY,Paraguay,138.8,5.55,,25.0,32,4.94021282979971
EGY,Egypt,135.43,5.02,,27.0,33,4.915811662574783
MEX,Mexico,121.6,8.11,,15.0,34,4.808927023502111
UZB,Uzbekistan,78.73,1.97,,40.0,35,4.378645926514404
AUS,Australia,69.8,2.59,,27.0,36,4.259859000699674
TUN,Tunisia,69.25,2.66,,26.0,37,4.2520603082138555
CPV,Cape Verde,56.18,2.16,,26.0,38,4.046204186894165
HTI,Haiti,55.88,2.15,,26.0,39,4.040943785494986
ZAF,South Africa,45.8,1.76,,26.0,40,3.845883202923601
IRN,Iran,35.5,1.18,,30.0,41,3.597312260588446
NZL,New Zealand,35.35,1.36,,26.0,42,3.5931942039795284
PAN,Panama,34.93,1.34,,26.0,43,3.581572601125427
SAU,Saudi Arabia,31.25,1.3,,24.0,44,3.4735180432417816
CUW,Curaçao,26.03,1.0,,26.0,45,3.2969473602883563
IRQ,Iraq,23.9,,,33.0,46,3.214867803470662
QAT,Qatar,20.48,,,28.0,47,3.067122269640664
JOR,Jordan,18.35,,,30.0,48,2.962692419475791
