iso_code,prop_corners_per90,prop_yellow_per90,prop_shots_per90,prop_fouls_per90,prop_matches,prop_source
AGO,5.4,1.6,10.8,17.0,5,statsbomb
ALB,2.0,2.333,10.667,10.333,3,statsbomb
ARG,5.529,2.118,15.059,14.706,17,statsbomb
AUS,3.143,1.857,8.571,14.0,7,statsbomb
AUT,5.25,2.25,12.875,16.0,8,statsbomb
BEL,4.895,1.421,12.842,13.579,19,statsbomb
BFA,3.0,3.0,11.5,16.75,4,statsbomb
BOL,2.0,2.333,5.667,20.667,3,statsbomb
BRA,7.143,1.571,18.357,13.071,14,statsbomb
CAN,4.111,2.778,12.111,13.889,9,statsbomb
CHE,5.778,2.0,12.833,14.556,18,statsbomb
CHL,2.333,2.0,7.333,13.667,3,statsbomb
CIV,5.286,2.143,14.571,17.571,7,statsbomb
CMR,4.571,2.0,9.286,13.143,7,statsbomb
COD,4.286,1.143,15.429,15.0,7,statsbomb
COL,3.9,2.1,12.5,16.6,10,statsbomb
CPV,6.2,1.4,16.0,15.6,5,statsbomb
CRI,1.556,1.889,5.333,14.333,9,statsbomb
CZE,5.25,2.375,12.5,13.625,8,statsbomb
DEU,6.467,1.733,19.067,12.333,15,statsbomb
DNK,6.176,1.412,13.176,13.882,17,statsbomb
DZA,8.0,3.0,15.667,13.667,3,statsbomb
ECU,4.0,1.286,12.0,15.429,7,statsbomb
EGY,3.571,1.429,15.857,13.857,7,statsbomb
ENG,4.5,1.115,12.115,11.154,26,statsbomb
ESP,6.524,1.19,17.952,12.571,21,statsbomb
FIN,0.333,1.333,6.333,11.667,3,statsbomb
FRA,4.5,1.458,14.667,13.042,24,statsbomb
GEO,3.5,1.75,7.5,10.5,4,statsbomb
GHA,3.667,2.833,8.333,20.167,6,statsbomb
GIN,2.6,1.6,8.6,16.2,5,statsbomb
GMB,5.333,2.0,11.333,15.667,3,statsbomb
GNB,4.0,0.333,11.333,13.667,3,statsbomb
GNQ,2.0,1.75,7.75,15.5,4,statsbomb
HRV,4.095,1.714,14.048,15.952,21,statsbomb
HUN,2.833,2.5,8.333,14.5,6,statsbomb
IRN,2.0,2.167,9.333,16.333,6,statsbomb
ISL,5.667,1.0,12.0,14.333,3,statsbomb
ITA,5.0,1.909,16.455,14.364,11,statsbomb
JAM,6.667,1.667,9.333,11.0,3,statsbomb
JPN,4.5,1.25,11.5,13.25,8,statsbomb
KOR,5.571,2.143,11.714,15.857,7,statsbomb
MAR,3.286,1.643,11.643,17.071,14,statsbomb
MEX,5.4,2.3,16.1,15.2,10,statsbomb
MKD,3.333,2.667,11.0,14.333,3,statsbomb
MLI,4.0,1.4,12.8,18.4,5,statsbomb
MOZ,4.667,2.333,9.333,11.333,3,statsbomb
MRT,4.0,2.0,12.75,15.0,4,statsbomb
NAM,5.25,0.75,8.5,15.0,4,statsbomb
NGA,3.9,1.6,12.5,17.7,10,statsbomb
NLD,4.733,1.667,12.2,14.6,15,statsbomb
PAN,2.0,2.429,10.571,16.857,7,statsbomb
PER,2.333,1.833,9.333,17.333,6,statsbomb
POL,4.154,1.846,10.846,13.846,13,statsbomb
PRT,6.222,1.333,15.0,11.222,18,statsbomb
PRY,4.333,2.333,14.333,18.0,3,statsbomb
QAT,3.0,2.333,6.667,12.0,3,statsbomb
ROU,3.75,2.0,9.5,12.25,4,statsbomb
RUS,4.375,1.5,10.5,17.5,8,statsbomb
SAU,3.0,2.5,10.833,15.333,6,statsbomb
SCO,4.167,1.333,9.667,12.5,6,statsbomb
SEN,5.091,1.909,11.636,15.364,11,statsbomb
SRB,3.778,3.222,10.333,15.444,9,statsbomb
SVK,3.571,2.0,10.571,13.286,7,statsbomb
SVN,3.25,2.75,10.0,14.5,4,statsbomb
SWE,4.0,1.444,11.0,15.444,9,statsbomb
TUN,5.333,1.222,10.556,14.111,9,statsbomb
TUR,6.5,3.25,14.125,13.375,8,statsbomb
TZA,2.0,1.333,4.0,10.0,3,statsbomb
UKR,3.625,0.875,11.375,10.75,8,statsbomb
URY,4.143,1.357,13.571,15.357,14,statsbomb
USA,4.429,1.429,11.429,11.429,7,statsbomb
VEN,5.75,1.5,15.5,12.5,4,statsbomb
WAL,2.714,2.0,9.0,11.286,7,statsbomb
ZAF,3.714,0.857,13.0,13.714,7,statsbomb
ZMB,2.667,1.0,8.333,13.667,3,statsbomb
