iso_code,sb_total_matches,sb_tournaments,sb_xg_per90,sb_xga_per90,sb_xg_diff_per90,sb_shots_per90,sb_shots_on_target_per90,sb_possession_pct
DZA,3.0,AFCON2023,1.294,1.262,0.032,15.667,4.333,68.73
ARG,17.0,"CopaAmerica2024, WC2018, WC2022",2.507,1.446,1.062,15.059,6.412,59.788
AUS,7.0,"WC2018, WC2022",0.8,1.336,-0.536,8.571,2.429,42.631
AUT,8.0,"Euro2020, Euro2024",1.311,1.48,-0.169,12.875,4.5,53.405
BEL,19.0,"Euro2020, Euro2024, WC2018, WC2022",1.391,1.156,0.234,12.842,4.474,54.626
BIH,,,,,,,,
BRA,14.0,"CopaAmerica2024, WC2018, WC2022",2.531,1.021,1.51,18.357,7.357,58.589
CAN,9.0,"CopaAmerica2024, WC2022",2.165,2.256,-0.091,12.111,3.667,49.733
CPV,5.0,AFCON2023,2.145,1.708,0.437,16.0,4.6,53.3
COL,10.0,"CopaAmerica2024, WC2018",1.658,1.37,0.287,12.5,4.2,53.178
HRV,21.0,"Euro2020, Euro2024, WC2018, WC2022",2.065,1.942,0.123,14.048,5.0,54.797
CUW,,,,,,,,
CZE,8.0,"Euro2020, Euro2024",1.268,1.206,0.062,12.5,4.625,44.939
COD,7.0,AFCON2023,3.418,2.481,0.936,15.429,5.0,45.86
ECU,7.0,"CopaAmerica2024, WC2022",1.676,1.478,0.198,12.0,3.857,46.944
EGY,7.0,"AFCON2023, WC2018",2.329,2.237,0.093,15.857,4.857,50.327
ENG,26.0,"Euro2020, Euro2024, WC2018, WC2022",1.808,1.327,0.481,12.115,4.423,55.83
FRA,24.0,"Euro2020, Euro2024, WC2018, WC2022",1.92,1.484,0.436,14.667,4.917,51.094
DEU,15.0,"Euro2020, Euro2024, WC2018, WC2022",1.96,0.998,0.962,19.067,6.333,64.102
GHA,6.0,"AFCON2023, WC2022",1.177,1.76,-0.584,8.333,3.0,43.29
HTI,,,,,,,,
IRN,6.0,"WC2018, WC2022",1.088,1.425,-0.337,9.333,2.166,31.61
IRQ,,,,,,,,
CIV,7.0,AFCON2023,1.646,1.548,0.098,14.571,4.286,59.19
JPN,8.0,"WC2018, WC2022",1.534,1.807,-0.273,11.5,4.25,43.845
JOR,,,,,,,,
MEX,10.0,"CopaAmerica2024, WC2018, WC2022",1.258,1.372,-0.114,16.1,4.6,55.677
MAR,14.0,"AFCON2023, WC2018, WC2022",1.438,1.159,0.28,11.643,3.571,45.855
NLD,15.0,"Euro2020, Euro2024, WC2022",1.67,1.258,0.412,12.2,4.067,53.527
NZL,,,,,,,,
NOR,,,,,,,,
PAN,7.0,"CopaAmerica2024, WC2018",0.803,1.783,-0.981,10.571,3.286,46.084
PRY,3.0,CopaAmerica2024,0.986,1.547,-0.561,14.333,5.0,48.48
PRT,18.0,"Euro2020, Euro2024, WC2018, WC2022",1.93,1.409,0.521,15.0,4.889,59.737
QAT,3.0,WC2022,0.469,1.257,-0.788,6.667,2.0,42.96
SAU,6.0,"WC2018, WC2022",1.045,1.76,-0.715,10.834,3.0,52.43
SCO,6.0,"Euro2020, Euro2024",0.766,1.047,-0.281,9.667,1.834,43.33
SEN,11.0,"AFCON2023, WC2018, WC2022",1.552,1.206,0.346,11.636,3.818,46.405
ZAF,7.0,AFCON2023,2.749,3.432,-0.683,13.0,6.429,52.87
KOR,7.0,"WC2018, WC2022",0.945,1.776,-0.831,11.714,4.143,43.501
ESP,21.0,"Euro2020, Euro2024, WC2018, WC2022",2.452,1.545,0.907,17.952,6.524,69.275
SWE,9.0,"Euro2020, WC2018",1.302,1.124,0.178,11.0,3.556,34.536
CHE,18.0,"Euro2020, Euro2024, WC2018, WC2022",1.776,2.007,-0.232,12.833,4.5,50.101
TUN,9.0,"AFCON2023, WC2018, WC2022",1.09,1.559,-0.468,10.556,2.889,48.797
TUR,8.0,"Euro2020, Euro2024",1.146,1.818,-0.672,14.125,4.0,49.74
USA,7.0,"CopaAmerica2024, WC2022",1.104,0.916,0.188,11.428,3.571,50.124
URY,14.0,"CopaAmerica2024, WC2018, WC2022",1.827,1.265,0.562,13.572,4.857,49.121
UZB,,,,,,,,
