iso_code,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026
DZA,1.277942132756627,11.0,5.0,0.45454545454545453,0.0,0
ARG,1.9465680224733235,20.0,12.0,0.6,0.20779220779220786,0
AUS,1.5811388300841898,18.0,6.0,0.3333333333333333,0.01098901098901095,0
AUT,1.9248669982003945,13.0,6.0,0.46153846153846156,-0.8188405797101449,0
BEL,1.587387815530125,25.0,11.0,0.44,0.43170731707317067,0
BIH,1.4142135623730951,3.0,1.0,0.3333333333333333,,0
BRA,1.832997534931664,3.0,2.0,0.6666666666666666,-0.5249999999999999,0
CAN,0.7453559924999298,6.0,0.0,0.0,,0
CPV,,,,,,1
COL,1.9284730395996748,15.0,6.0,0.4,0.9230769230769231,0
HRV,1.6397831834998458,16.0,8.0,0.5,0.2589285714285714,0
CUW,,,,,,1
CZE,2.1311455724263326,16.0,8.0,0.5,0.2649999999999999,0
COD,3.0912061651652345,2.0,0.0,0.0,,0
ECU,1.6641005886756874,10.0,5.0,0.5,0.16666666666666674,0
EGY,0.7559289460184544,5.0,1.0,0.2,-1.5,0
ENG,1.4999391270823361,26.0,13.0,0.5,0.8091397849462367,0
FRA,1.6854326017323187,24.0,14.0,0.5833333333333334,0.34624697336561727,0
DEU,1.9868860494536063,5.0,2.0,0.4,-0.711309523809524,0
GHA,1.349897115421106,13.0,6.0,0.46153846153846156,0.5,0
HTI,2.160246899469287,3.0,0.0,0.0,,0
IRN,1.5275252316519468,15.0,5.0,0.3333333333333333,0.41666666666666663,0
IRQ,0.0,3.0,0.0,0.0,,0
CIV,1.4487116456005886,6.0,2.0,0.3333333333333333,-0.3333333333333335,0
JPN,1.2874781551544865,17.0,10.0,0.5882352941176471,0.5514705882352942,0
JOR,,,,,,1
MEX,1.9220215052560328,34.0,12.0,0.35294117647058826,-0.36118598382749323,0
MAR,1.4275178399462611,18.0,9.0,0.5,-0.12307692307692308,0
NLD,1.5771089776146499,24.0,18.0,0.75,0.432170542635659,0
NZL,1.699673171197595,5.0,2.0,0.4,,0
NOR,0.7806247497997998,6.0,3.0,0.5,-0.1428571428571429,0
PAN,1.632993161855452,3.0,0.0,0.0,,0
PRY,1.5351393908194597,17.0,7.0,0.4117647058823529,-0.6907894736842106,0
PRT,2.0603150145508513,18.0,11.0,0.6111111111111112,0.34615384615384626,0
QAT,0.0,3.0,0.0,0.0,,0
SAU,2.3013906430605733,13.0,3.0,0.23076923076923078,0.14102564102564108,0
SCO,1.898163474168963,16.0,7.0,0.4375,-0.5686274509803922,0
SEN,1.3819269959814167,11.0,7.0,0.6363636363636364,-0.1142857142857141,0
ZAF,1.4229164972072998,8.0,5.0,0.625,0.33333333333333326,0
KOR,2.1943329175192603,29.0,11.0,0.3793103448275862,0.1428571428571428,0
ESP,1.8718107948168219,19.0,11.0,0.5789473684210527,0.44067796610169485,0
SWE,2.09593077122554,24.0,12.0,0.5,-0.6904761904761905,0
CHE,1.9512195121951217,18.0,8.0,0.4444444444444444,-0.11363636363636354,0
TUN,1.247219128924647,13.0,7.0,0.5384615384615384,0.33333333333333337,0
TUR,3.1,5.0,1.0,0.2,,0
USA,1.8868659108872499,20.0,7.0,0.35,-0.10344827586206895,0
URY,2.2704273965614035,15.0,7.0,0.4666666666666667,-0.44362745098039214,0
UZB,,,,,,1
