iso_code,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played
DZA,4,13,3,3,7,0.23076923076923078,0.9230769230769231,13,19,-0.46153846153846156,1,round of 16,12,0
ARG,18,88,47,17,24,0.5340909090909091,1.7954545454545454,152,101,0.5795454545454546,29,final,4,6
AUS,6,20,4,4,12,0.2,0.8,17,37,-1.0,2,round of 16,4,0
AUT,7,29,12,4,13,0.41379310344827586,1.3793103448275863,43,47,-0.13793103448275862,7,semi-finals,28,0
BEL,14,51,21,10,20,0.4117647058823529,1.4313725490196079,69,74,-0.09803921568627451,15,semi-finals,4,0
BIH,1,3,1,0,2,0.3333333333333333,1.0,4,4,0.0,0,group stage,12,0
BRA,22,114,76,19,19,0.6666666666666666,2.1666666666666665,237,108,1.131578947368421,45,final,4,6
CAN,2,6,0,0,6,0.0,0.0,2,12,-1.6666666666666667,0,group stage,4,0
CPV,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,,0
COL,6,22,9,3,10,0.4090909090909091,1.3636363636363635,32,30,0.09090909090909091,4,quarter-finals,8,0
HRV,6,30,13,8,9,0.43333333333333335,1.5666666666666667,43,33,0.3333333333333333,12,final,4,1
CUW,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,,0
CZE,9,33,12,5,16,0.36363636363636365,1.2424242424242424,47,49,-0.06060606060606061,12,final,20,2
COD,1,3,0,0,3,0.0,0.0,0,14,-4.666666666666667,0,group stage,52,0
ECU,4,13,5,2,6,0.38461538461538464,1.3076923076923077,14,14,0.0,1,round of 16,4,0
EGY,3,7,0,2,5,0.0,0.2857142857142857,5,12,-1.0,1,round of 16,8,0
ENG,16,74,32,22,20,0.43243243243243246,1.5945945945945945,104,68,0.4864864864864865,24,final,4,1
FRA,16,73,39,14,20,0.5342465753424658,1.7945205479452055,136,85,0.6986301369863014,30,final,4,4
DEU,20,118,70,23,25,0.5932203389830508,1.9745762711864407,237,135,0.864406779661017,50,final,4,8
GHA,4,15,5,3,7,0.3333333333333333,1.2,18,23,-0.3333333333333333,3,quarter-finals,4,0
HTI,1,3,0,0,3,0.0,0.0,2,14,-4.0,0,group stage,52,0
IRN,6,18,3,4,11,0.16666666666666666,0.7222222222222222,13,31,-1.0,0,group stage,4,0
IRQ,1,3,0,0,3,0.0,0.0,1,4,-1.0,0,group stage,40,0
CIV,3,9,3,1,5,0.3333333333333333,1.1111111111111112,13,14,-0.1111111111111111,0,group stage,12,0
JPN,7,25,7,6,12,0.28,1.08,25,33,-0.32,4,round of 16,4,0
JOR,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,,0
MEX,17,60,17,15,28,0.2833333333333333,1.1,62,101,-0.65,10,quarter-finals,4,0
MAR,6,23,5,7,11,0.21739130434782608,0.9565217391304348,20,27,-0.30434782608695654,5,semi-finals,4,0
NLD,11,55,30,14,11,0.5454545454545454,1.8909090909090909,96,52,0.8,22,final,4,3
NZL,2,6,0,3,3,0.0,0.5,4,14,-1.6666666666666667,0,group stage,16,0
NOR,3,8,2,3,3,0.25,1.125,7,8,-0.125,2,round of 16,28,0
PAN,1,3,0,0,3,0.0,0.0,2,11,-3.0,0,group stage,8,0
PRY,8,27,7,10,10,0.25925925925925924,1.1481481481481481,30,38,-0.2962962962962963,5,quarter-finals,16,0
PRT,8,35,17,6,12,0.4857142857142857,1.6285714285714286,61,41,0.5714285714285714,11,semi-finals,4,0
QAT,1,3,0,0,3,0.0,0.0,1,7,-2.0,0,group stage,4,0
SAU,6,19,4,2,13,0.21052631578947367,0.7368421052631579,14,44,-1.5789473684210527,1,round of 16,4,0
SCO,8,23,4,7,12,0.17391304347826086,0.8260869565217391,25,41,-0.6956521739130435,0,group stage,28,0
SEN,3,12,5,3,4,0.4166666666666667,1.5,16,17,-0.08333333333333333,3,quarter-finals,4,0
ZAF,3,9,2,4,3,0.2222222222222222,1.1111111111111112,11,16,-0.5555555555555556,0,group stage,16,0
KOR,11,38,7,10,21,0.18421052631578946,0.8157894736842105,39,78,-1.0263157894736843,6,semi-finals,4,0
ESP,16,67,31,17,19,0.4626865671641791,1.6417910447761195,108,75,0.4925373134328358,17,final,4,1
SWE,12,51,19,13,19,0.37254901960784315,1.3725490196078431,80,73,0.13725490196078433,16,final,8,1
CHE,12,41,14,8,19,0.34146341463414637,1.2195121951219512,55,73,-0.43902439024390244,11,quarter-finals,4,0
TUN,6,18,3,5,10,0.16666666666666666,0.7777777777777778,14,26,-0.6666666666666666,0,group stage,4,0
TUR,2,10,5,1,4,0.5,1.6,20,17,0.3,4,semi-finals,24,0
USA,11,37,9,8,20,0.24324324324324326,0.9459459459459459,40,66,-0.7027027027027027,8,semi-finals,4,0
URY,14,59,25,13,21,0.423728813559322,1.4915254237288136,89,76,0.22033898305084745,18,final,4,1
UZB,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,,0
