iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex
DZA,Algeria,Algeria,4,13,3,3,7,0.2307692307692307,0.9230769230769232,13,19,-0.4615384615384615,1,round of 16,12.0,0,1.277942132756627,11.0,5.0,0.4545454545454545,0.0,0,0,6476.8,50000,10.819798284210286,0,0,0,6750.1,75000,11.225256725762891,0,0,0,9755.8,1000,6.90875477931522,0,0
ARG,Argentina,Argentina,18,88,47,17,24,0.5340909090909091,1.7954545454545454,152,101,0.5795454545454546,29,final,4.0,6,1.9465680224733235,20.0,12.0,0.6,0.2077922077922078,0,0,8526.2,300000,12.611541086966117,0,0,0,8958.2,40000,10.59665973278358,0,0,0,7392.2,60000,11.002116507732016,1,0
AUS,Australia,Australia,6,20,4,4,12,0.2,0.8,17,37,-1.0,2,round of 16,4.0,0,1.5811388300841898,18.0,6.0,0.3333333333333333,0.0109890109890109,0,0,16225.8,200000,12.206077645517674,1,0,0,15810.0,26000,10.165890277802454,1,0,0,13177.3,5000,8.517393171418904,0,0
AUT,Austria,Austria,7,29,12,4,13,0.4137931034482758,1.3793103448275863,43,47,-0.1379310344827586,7,semi-finals,28.0,0,1.9248669982003943,13.0,6.0,0.4615384615384615,-0.8188405797101449,0,0,6796.3,700000,13.45883704259595,0,0,0,6917.0,200000,12.206077645517674,0,0,0,10151.4,3000,8.006700845440367,0,0
BEL,Belgium,Belgium,14,51,21,10,20,0.4117647058823529,1.431372549019608,69,74,-0.0980392156862745,15,semi-finals,4.0,0,1.587387815530125,25.0,11.0,0.44,0.4317073170731706,0,0,5888.6,400000,12.899222326086994,0,0,0,6025.1,180000,12.100717685412471,1,0,0,9246.5,3000,8.006700845440367,0,0
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,1,3,1,0,2,0.3333333333333333,1.0,4,4,0.0,0,group stage,12.0,0,1.4142135623730951,3.0,1.0,0.3333333333333333,0.141025641025641,0,0,7183.8,300000,12.611541086966117,0,0,0,7333.6,25000,10.12667110305036,0,0,0,10543.1,500,6.2166061010848646,0,0
BRA,Brazil,Brazil,22,114,76,19,19,0.6666666666666666,2.1666666666666665,237,108,1.131578947368421,45,final,4.0,6,1.832997534931664,3.0,2.0,0.6666666666666666,-0.5249999999999999,0,0,6839.0,500000,13.122365377402328,0,0,0,7347.4,70000,11.156264806643742,0,0,0,6835.1,15000,9.61587214452889,0,0
CAN,Canada,Canada,2,6,0,0,6,0.0,0.0,2,12,-1.6666666666666667,0,group stage,4.0,0,0.7453559924999298,6.0,0.0,0.0,0.141025641025641,0,0,541.3,1100000,13.910821646859096,1,1,1,0.0,0,0.0,1,0,0,3603.3,5000,8.517393171418904,0,0
CPV,Cape Verde,Cape Verde,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,5632.4,100000,11.51293546492023,0,0,0,6142.5,5000,8.517393171418904,0,0,0,7985.8,100,4.61512051684126,0,0
COL,Colombia,Colombia,6,22,9,3,10,0.4090909090909091,1.3636363636363635,32,30,0.0909090909090909,4,quarter-finals,8.0,0,1.9284730395996748,15.0,6.0,0.4,0.9230769230769232,0,0,4003.2,1500000,14.220976332738882,0,0,0,4361.5,75000,11.225256725762891,0,0,0,3170.7,35000,10.463131911491969,1,0
HRV,Croatia,Croatia,6,30,13,8,9,0.4333333333333333,1.5666666666666669,43,33,0.3333333333333333,12,final,4.0,1,1.6397831834998458,16.0,8.0,0.5,0.2589285714285714,0,0,6905.8,400000,12.899222326086994,0,0,0,7049.1,130000,11.775297421715829,0,0,0,10265.0,5000,8.517393171418904,0,0
CUW,Curaçao,Curacao,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,3218.3,10000,9.210440366976515,0,0,0,3647.8,5000,8.517393171418904,0,0,0,3332.1,200,5.303304908059076,0,0
