iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex,elo_rank,elo_peak,squad_value_m_eur,squad_avg_value_m_eur,log_squad_value,squad_value_rank,squad_avg_age,sb_total_matches,sb_tournaments,sb_xg_per90,sb_xga_per90,sb_xg_diff_per90,sb_shots_per90,sb_shots_on_target_per90,sb_possession_pct,sq_npxg_per90,sq_xa_per90,sq_npxgxa_per90,sq_xg_chain_per90,sq_avg_minutes,sq_big5_coverage_pct,sq_players_in_big5,fb_npgls_per90,fb_gls_per90,fb_ast_per90,fb_intl_mins_avg,fb_intl_coverage_pct,fb_squad_matched,elo_rating
DZA,Algeria,Algeria,4,13,3,3,7,0.2307692307692307,0.9230769230769232,13,19,-0.4615384615384615,1,round of 16,12.0,0,1.277942132756627,11.0,5.0,0.4545454545454545,0.0,0,0,6476.8,50000,10.819798284210286,0,0,0,6750.1,75000,11.225256725762891,0,0,0,9755.8,1000,6.90875477931522,0,0,35,1807,226.8,8.72,5.428468051013081,25,26.0,3.0,AFCON2023,1.294,1.262,0.032,15.667,4.333,68.73,0.202,0.147,0.349,0.675,1443.8,19.2,5,,,,,,,1852.2
ARG,Argentina,Argentina,18,88,47,17,24,0.5340909090909091,1.7954545454545454,152,101,0.5795454545454546,29,final,4.0,6,1.9465680224733235,20.0,12.0,0.6,0.2077922077922078,0,0,8526.2,300000,12.611541086966117,0,0,0,8958.2,40000,10.59665973278358,0,0,0,7392.2,60000,11.002116507732016,1,0,2,2172,816.5,31.4,6.706250902771409,8,26.0,17.0,"CopaAmerica2024, WC2018, WC2022",2.507,1.446,1.062,15.059,6.412,59.788,0.149,0.133,0.282,0.563,1888.7,88.5,23,,,,,,,2136.8
AUS,Australia,Australia,6,20,4,4,12,0.2,0.8,17,37,-1.0,2,round of 16,4.0,0,1.5811388300841898,18.0,6.0,0.3333333333333333,0.0109890109890109,0,0,16225.8,200000,12.206077645517674,1,0,0,15810.0,26000,10.165890277802454,1,0,0,13177.3,5000,8.517393171418904,0,0,26,1876,69.8,2.59,4.259859000699674,36,27.0,7.0,"WC2018, WC2022",0.8,1.336,-0.536,8.571,2.429,42.631,0.101,0.097,0.198,0.286,1257.0,15.4,4,0.098,0.107,0.049,542.6,65.4,17.0,1888.6
AUT,Austria,Austria,7,29,12,4,13,0.4137931034482758,1.3793103448275863,43,47,-0.1379310344827586,7,semi-finals,28.0,0,1.9248669982003943,13.0,6.0,0.4615384615384615,-0.8188405797101449,0,0,6796.3,700000,13.45883704259595,0,0,0,6917.0,200000,12.206077645517674,0,0,0,10151.4,3000,8.006700845440367,0,0,23,2070,271.7,10.45,5.608372289851543,22,26.0,8.0,"Euro2020, Euro2024",1.311,1.48,-0.169,12.875,4.5,53.405,0.105,0.1,0.205,0.494,1353.5,72.0,18,,,,,,,1819.3
BEL,Belgium,Belgium,14,51,21,10,20,0.4117647058823529,1.431372549019608,69,74,-0.0980392156862745,15,semi-finals,4.0,0,1.587387815530125,25.0,11.0,0.44,0.4317073170731706,0,0,5888.6,400000,12.899222326086994,0,0,0,6025.1,180000,12.100717685412471,1,0,0,9246.5,3000,8.006700845440367,0,0,19,2157,530.2,20.39,6.275138598162224,11,26.0,19.0,"Euro2020, Euro2024, WC2018, WC2022",1.391,1.156,0.234,12.842,4.474,54.626,0.168,0.158,0.326,0.549,2099.6,65.4,17,,,,,,,1860.4
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,1,3,1,0,2,0.3333333333333333,1.0,4,4,0.0,0,group stage,12.0,0,1.4142135623730951,3.0,1.0,0.3333333333333333,0.141025641025641,0,0,7183.8,300000,12.611541086966117,0,0,0,7333.6,25000,10.12667110305036,0,0,0,10543.1,500,6.2166061010848646,0,0,66,1806,149.5,5.54,5.01396308418893,29,27.0,,,,,,,,,0.215,0.094,0.309,0.452,1618.7,23.1,6,,,,,,,1569.8
BRA,Brazil,Brazil,22,114,76,19,19,0.6666666666666666,2.1666666666666665,237,108,1.131578947368421,45,final,4.0,6,1.832997534931664,3.0,2.0,0.6666666666666666,-0.5249999999999999,0,0,6839.0,500000,13.122365377402328,0,0,0,7347.4,70000,11.156264806643742,0,0,0,6835.1,15000,9.61587214452889,0,0,5,2195,909.2,34.97,6.813664355582541,6,26.0,14.0,"CopaAmerica2024, WC2018, WC2022",2.531,1.021,1.51,18.357,7.357,58.589,0.232,0.193,0.425,0.672,2107.1,46.2,12,,,,,,,2019.6
CAN,Canada,Canada,2,6,0,0,6,0.0,0.0,2,12,-1.6666666666666667,0,group stage,4.0,0,0.7453559924999298,6.0,0.0,0.0,0.141025641025641,0,0,541.3,1100000,13.910821646859096,1,1,1,0.0,0,0.0,1,0,0,3603.3,5000,8.517393171418904,0,0,25,1841,217.65,6.8,5.3874722778589295,26,32.0,9.0,"CopaAmerica2024, WC2022",2.165,2.256,-0.091,12.111,3.667,49.733,0.129,0.069,0.198,0.533,1364.3,24.0,6,,,,,,,1879.4
CPV,Cape Verde,Cape Verde,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,5632.4,100000,11.51293546492023,0,0,0,6142.5,5000,8.517393171418904,0,0,0,7985.8,100,4.61512051684126,0,0,72,1579,56.18,2.16,4.046204186894165,38,26.0,5.0,AFCON2023,2.145,1.708,0.437,16.0,4.6,53.3,0.086,0.034,0.12,0.387,1759.0,7.7,2,,,,,,,1675.5
COL,Colombia,Colombia,6,22,9,3,10,0.4090909090909091,1.3636363636363635,32,30,0.0909090909090909,4,quarter-finals,8.0,0,1.9284730395996748,15.0,6.0,0.4,0.9230769230769232,0,0,4003.2,1500000,14.220976332738882,0,0,0,4361.5,75000,11.225256725762891,0,0,0,3170.7,35000,10.463131911491969,1,0,7,2069,305.45,11.75,5.725054609931741,20,26.0,10.0,"CopaAmerica2024, WC2018",1.658,1.37,0.287,12.5,4.2,53.178,0.134,0.111,0.245,0.438,2016.1,34.6,9,,,,,,,2012.9
