tournament,match_id,match_date,home_team,away_team,home_iso,away_iso,home_score,away_score,home_xg,away_xg
WC2018,7525,2018-06-14,Russia,Saudi Arabia,,SAU,5,0,1.2816,0.2488
WC2018,7578,2018-06-15,Egypt,Uruguay,EGY,URY,0,1,0.3645,1.9408
WC2018,7576,2018-06-15,Portugal,Spain,PRT,ESP,3,3,1.4346,1.6609
WC2018,7577,2018-06-15,Morocco,Iran,MAR,IRN,0,1,1.0592,0.6976
WC2018,7531,2018-06-16,Argentina,Iceland,ARG,,1,1,2.0805,1.0321
WC2018,7529,2018-06-16,Croatia,Nigeria,HRV,,2,0,1.6945,0.7623
WC2018,7530,2018-06-16,France,Australia,FRA,AUS,2,1,1.5616,0.98
WC2018,7532,2018-06-16,Peru,Denmark,,,0,1,1.9264,1.1216
WC2018,7534,2018-06-17,Germany,Mexico,DEU,MEX,0,1,2.2993,0.9933
WC2018,7535,2018-06-17,Costa Rica,Serbia,,,0,1,0.596,1.9926
WC2018,7533,2018-06-17,Brazil,Switzerland,BRA,CHE,1,1,1.8666,0.4721
WC2018,7538,2018-06-18,Sweden,South Korea,SWE,KOR,1,0,2.0151,0.4144
WC2018,7536,2018-06-18,Belgium,Panama,BEL,PAN,3,0,1.2121,0.6254
WC2018,7537,2018-06-18,Tunisia,England,TUN,ENG,1,2,0.9457,2.6264
WC2018,7539,2018-06-19,Poland,Senegal,,SEN,1,2,1.0423,1.4278
WC2018,7540,2018-06-19,Russia,Egypt,,EGY,3,1,0.9812,1.6975
WC2018,7541,2018-06-19,Colombia,Japan,COL,JPN,1,2,0.8063,2.3207
WC2018,7543,2018-06-20,Iran,Spain,IRN,ESP,0,1,0.4265,2.197
WC2018,7544,2018-06-20,Uruguay,Saudi Arabia,URY,SAU,1,0,1.8074,0.2735
WC2018,7542,2018-06-20,Portugal,Morocco,PRT,MAR,1,0,0.885,1.4551
WC2018,7546,2018-06-21,France,Peru,FRA,,1,0,1.8624,0.6252
WC2018,7545,2018-06-21,Argentina,Croatia,ARG,HRV,0,3,1.2181,1.8317
WC2018,7547,2018-06-21,Denmark,Australia,,AUS,1,1,1.0144,1.4122
WC2018,7550,2018-06-22,Serbia,Switzerland,,CHE,1,2,1.1535,1.5573
WC2018,7548,2018-06-22,Brazil,Costa Rica,BRA,,2,0,3.0964,0.1587
WC2018,7549,2018-06-22,Nigeria,Iceland,,,2,0,1.3122,1.5522
WC2018,7553,2018-06-23,South Korea,Mexico,KOR,MEX,1,2,0.8218,1.8776
WC2018,7551,2018-06-23,Germany,Sweden,DEU,SWE,2,1,1.3181,0.8152
WC2018,7552,2018-06-23,Belgium,Tunisia,BEL,TUN,5,2,5.3364,1.1882
WC2018,7554,2018-06-24,England,Panama,ENG,PAN,6,1,3.1683,1.08
WC2018,7555,2018-06-24,Poland,Colombia,,COL,0,3,1.1142,1.3869
WC2018,7556,2018-06-24,Japan,Senegal,JPN,SEN,2,2,0.9822,1.8783
WC2018,7557,2018-06-25,Iran,Portugal,IRN,PRT,1,1,1.577,1.5224
WC2018,7558,2018-06-25,Uruguay,Russia,URY,,3,0,2.4826,0.1802
WC2018,7560,2018-06-25,Spain,Morocco,ESP,MAR,2,2,2.6045,1.0718
WC2018,7559,2018-06-25,Saudi Arabia,Egypt,SAU,EGY,2,1,2.5458,0.9237
WC2018,7561,2018-06-26,Iceland,Croatia,,HRV,1,2,2.1327,0.6739
WC2018,7562,2018-06-26,Australia,Peru,AUS,,0,2,1.6293,0.3364
WC2018,7564,2018-06-26,Nigeria,Argentina,,ARG,1,2,1.3053,0.8506
WC2018,7563,2018-06-26,Denmark,France,,FRA,0,0,0.139,0.4181
WC2018,7565,2018-06-27,Serbia,Brazil,,BRA,0,2,0.9483,1.4198
WC2018,7568,2018-06-27,Switzerland,Costa Rica,CHE,,2,2,1.2197,1.5762
WC2018,7566,2018-06-27,Mexico,Sweden,MEX,SWE,0,3,1.6107,2.7905
WC2018,7567,2018-06-27,South Korea,Germany,KOR,DEU,2,0,1.7746,2.7064
WC2018,7569,2018-06-28,Panama,Tunisia,PAN,TUN,1,2,0.6908,2.8525
WC2018,7572,2018-06-28,Japan,Poland,JPN,,0,1,0.8906,1.0407
WC2018,7570,2018-06-28,England,Belgium,ENG,BEL,0,1,1.2007,0.9653
WC2018,7571,2018-06-28,Senegal,Colombia,SEN,COL,0,1,0.3609,0.2849
WC2018,7580,2018-06-30,France,Argentina,FRA,ARG,4,3,1.638,1.4466
WC2018,7579,2018-06-30,Uruguay,Portugal,URY,PRT,2,1,0.476,0.9956
WC2018,7581,2018-07-01,Croatia,Denmark,HRV,,1,1,6.0877,4.614
WC2018,7582,2018-07-01,Spain,Russia,ESP,,1,1,5.3586,4.5404
WC2018,7584,2018-07-02,Belgium,Japan,BEL,JPN,3,2,2.9178,0.6938
WC2018,7583,2018-07-02,Brazil,Mexico,BRA,MEX,2,0,3.3204,0.5828
WC2018,7585,2018-07-03,Colombia,England,COL,ENG,1,1,4.7487,6.1618
WC2018,7586,2018-07-03,Sweden,Switzerland,SWE,CHE,1,0,0.9105,0.533
WC2018,8650,2018-07-06,Brazil,Belgium,BRA,BEL,1,2,2.6092,0.4053
