year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1930,WC-1930,M-1930-01,1930-07-13,group stage,Group 1,0,FRA,France,MEX,Mexico,4,1,0,0,0,0,H
1930,WC-1930,M-1930-02,1930-07-13,group stage,Group 4,0,USA,United States,BEL,Belgium,3,0,0,0,0,0,H
1930,WC-1930,M-1930-03,1930-07-14,group stage,Group 2,0,YUG,Yugoslavia,BRA,Brazil,2,1,0,0,0,0,H
1930,WC-1930,M-1930-04,1930-07-14,group stage,Group 3,0,ROU,Romania,PER,Peru,3,1,0,0,0,0,H
1930,WC-1930,M-1930-05,1930-07-15,group stage,Group 1,0,ARG,Argentina,FRA,France,1,0,0,0,0,0,H
1930,WC-1930,M-1930-06,1930-07-16,group stage,Group 1,0,CHL,Chile,MEX,Mexico,3,0,0,0,0,0,H
1930,WC-1930,M-1930-07,1930-07-17,group stage,Group 2,0,YUG,Yugoslavia,BOL,Bolivia,4,0,0,0,0,0,H
1930,WC-1930,M-1930-08,1930-07-17,group stage,Group 4,0,USA,United States,PRY,Paraguay,3,0,0,0,0,0,H
1930,WC-1930,M-1930-09,1930-07-18,group stage,Group 3,0,URY,Uruguay,PER,Peru,1,0,0,0,0,0,H
1930,WC-1930,M-1930-10,1930-07-19,group stage,Group 1,0,CHL,Chile,FRA,France,1,0,0,0,0,0,H
1930,WC-1930,M-1930-11,1930-07-19,group stage,Group 1,0,ARG,Argentina,MEX,Mexico,6,3,0,0,0,0,H
1930,WC-1930,M-1930-12,1930-07-20,group stage,Group 2,0,BRA,Brazil,BOL,Bolivia,4,0,0,0,0,0,H
1930,WC-1930,M-1930-13,1930-07-20,group stage,Group 4,0,PRY,Paraguay,BEL,Belgium,1,0,0,0,0,0,H
1930,WC-1930,M-1930-14,1930-07-21,group stage,Group 3,0,URY,Uruguay,ROU,Romania,4,0,0,0,0,0,H
1930,WC-1930,M-1930-15,1930-07-22,group stage,Group 1,0,ARG,Argentina,CHL,Chile,3,1,0,0,0,0,H
1930,WC-1930,M-1930-16,1930-07-26,semi-finals,not applicable,1,ARG,Argentina,USA,United States,6,1,0,0,0,0,H
1930,WC-1930,M-1930-17,1930-07-27,semi-finals,not applicable,1,URY,Uruguay,YUG,Yugoslavia,6,1,0,0,0,0,H
1930,WC-1930,M-1930-18,1930-07-30,final,not applicable,1,URY,Uruguay,ARG,Argentina,4,2,0,0,0,0,H
1934,WC-1934,M-1934-01,1934-05-27,round of 16,not applicable,1,AUT,Austria,FRA,France,3,2,1,0,0,0,H
1934,WC-1934,M-1934-02,1934-05-27,round of 16,not applicable,1,CSK,Czechoslovakia,ROU,Romania,2,1,0,0,0,0,H
1934,WC-1934,M-1934-03,1934-05-27,round of 16,not applicable,1,DEU,Germany,BEL,Belgium,5,2,0,0,0,0,H
1934,WC-1934,M-1934-04,1934-05-27,round of 16,not applicable,1,HUN,Hungary,EGY,Egypt,4,2,0,0,0,0,H
1934,WC-1934,M-1934-05,1934-05-27,round of 16,not applicable,1,ITA,Italy,USA,United States,7,1,0,0,0,0,H
1934,WC-1934,M-1934-06,1934-05-27,round of 16,not applicable,1,ESP,Spain,BRA,Brazil,3,1,0,0,0,0,H
1934,WC-1934,M-1934-07,1934-05-27,round of 16,not applicable,1,SWE,Sweden,ARG,Argentina,3,2,0,0,0,0,H
1934,WC-1934,M-1934-08,1934-05-27,round of 16,not applicable,1,CHE,Switzerland,NLD,Netherlands,3,2,0,0,0,0,H
1934,WC-1934,M-1934-09,1934-05-31,quarter-finals,not applicable,1,AUT,Austria,HUN,Hungary,2,1,0,0,0,0,H
