year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_iso_raw,home_team_name,away_team_iso_raw,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2,match_country_name,home_team_iso,away_team_iso,host_country_iso,neutral_venue,host_team_iso,time_weight
1930,WC-1930,M-1930-01,1930-07-13,group stage,Group 1,0,FRA,France,MEX,Mexico,4,1,0,0,0,0,H,Uruguay,FRA,MEX,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-02,1930-07-13,group stage,Group 4,0,USA,United States,BEL,Belgium,3,0,0,0,0,0,H,Uruguay,USA,BEL,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-03,1930-07-14,group stage,Group 2,0,YUG,Yugoslavia,BRA,Brazil,2,1,0,0,0,0,H,Uruguay,YUG,BRA,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-04,1930-07-14,group stage,Group 3,0,ROU,Romania,PER,Peru,3,1,0,0,0,0,H,Uruguay,ROU,PER,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-05,1930-07-15,group stage,Group 1,0,ARG,Argentina,FRA,France,1,0,0,0,0,0,H,Uruguay,ARG,FRA,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-06,1930-07-16,group stage,Group 1,0,CHL,Chile,MEX,Mexico,3,0,0,0,0,0,H,Uruguay,CHL,MEX,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-07,1930-07-17,group stage,Group 2,0,YUG,Yugoslavia,BOL,Bolivia,4,0,0,0,0,0,H,Uruguay,YUG,BOL,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-08,1930-07-17,group stage,Group 4,0,USA,United States,PRY,Paraguay,3,0,0,0,0,0,H,Uruguay,USA,PRY,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-09,1930-07-18,group stage,Group 3,0,URY,Uruguay,PER,Peru,1,0,0,0,0,0,H,Uruguay,URY,PER,URY,False,URY,0.010051835744633576
1930,WC-1930,M-1930-10,1930-07-19,group stage,Group 1,0,CHL,Chile,FRA,France,1,0,0,0,0,0,H,Uruguay,CHL,FRA,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-11,1930-07-19,group stage,Group 1,0,ARG,Argentina,MEX,Mexico,6,3,0,0,0,0,H,Uruguay,ARG,MEX,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-12,1930-07-20,group stage,Group 2,0,BRA,Brazil,BOL,Bolivia,4,0,0,0,0,0,H,Uruguay,BRA,BOL,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-13,1930-07-20,group stage,Group 4,0,PRY,Paraguay,BEL,Belgium,1,0,0,0,0,0,H,Uruguay,PRY,BEL,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-14,1930-07-21,group stage,Group 3,0,URY,Uruguay,ROU,Romania,4,0,0,0,0,0,H,Uruguay,URY,ROU,URY,False,URY,0.010051835744633576
1930,WC-1930,M-1930-15,1930-07-22,group stage,Group 1,0,ARG,Argentina,CHL,Chile,3,1,0,0,0,0,H,Uruguay,ARG,CHL,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-16,1930-07-26,semi-finals,not applicable,1,ARG,Argentina,USA,United States,6,1,0,0,0,0,H,Uruguay,ARG,USA,URY,True,,0.010051835744633576
1930,WC-1930,M-1930-17,1930-07-27,semi-finals,not applicable,1,URY,Uruguay,YUG,Yugoslavia,6,1,0,0,0,0,H,Uruguay,URY,YUG,URY,False,URY,0.010051835744633576
1930,WC-1930,M-1930-18,1930-07-30,final,not applicable,1,URY,Uruguay,ARG,Argentina,4,2,0,0,0,0,H,Uruguay,URY,ARG,URY,False,URY,0.010051835744633576
1934,WC-1934,M-1934-01,1934-05-27,round of 16,not applicable,1,AUT,Austria,FRA,France,3,2,1,0,0,0,H,Italy,AUT,FRA,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-02,1934-05-27,round of 16,not applicable,1,CSK,Czechoslovakia,ROU,Romania,2,1,0,0,0,0,H,Italy,CZE,ROU,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-03,1934-05-27,round of 16,not applicable,1,DEU,Germany,BEL,Belgium,5,2,0,0,0,0,H,Italy,DEU,BEL,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-04,1934-05-27,round of 16,not applicable,1,HUN,Hungary,EGY,Egypt,4,2,0,0,0,0,H,Italy,HUN,EGY,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-05,1934-05-27,round of 16,not applicable,1,ITA,Italy,USA,United States,7,1,0,0,0,0,H,Italy,ITA,USA,ITA,False,ITA,0.012277339903068436
1934,WC-1934,M-1934-06,1934-05-27,round of 16,not applicable,1,ESP,Spain,BRA,Brazil,3,1,0,0,0,0,H,Italy,ESP,BRA,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-07,1934-05-27,round of 16,not applicable,1,SWE,Sweden,ARG,Argentina,3,2,0,0,0,0,H,Italy,SWE,ARG,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-08,1934-05-27,round of 16,not applicable,1,CHE,Switzerland,NLD,Netherlands,3,2,0,0,0,0,H,Italy,CHE,NLD,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-09,1934-05-31,quarter-finals,not applicable,1,AUT,Austria,HUN,Hungary,2,1,0,0,0,0,H,Italy,AUT,HUN,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-10,1934-05-31,quarter-finals,not applicable,1,CSK,Czechoslovakia,CHE,Switzerland,3,2,0,0,0,0,H,Italy,CZE,CHE,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-11,1934-05-31,quarter-finals,not applicable,1,DEU,Germany,SWE,Sweden,2,1,0,0,0,0,H,Italy,DEU,SWE,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-12,1934-05-31,quarter-finals,not applicable,1,ITA,Italy,ESP,Spain,1,1,1,0,0,0,D,Italy,ITA,ESP,ITA,False,ITA,0.012277339903068436
1934,WC-1934,M-1934-13,1934-06-01,quarter-finals,not applicable,1,ITA,Italy,ESP,Spain,1,0,0,0,0,0,H,Italy,ITA,ESP,ITA,False,ITA,0.012277339903068436
1934,WC-1934,M-1934-14,1934-06-03,semi-finals,not applicable,1,CSK,Czechoslovakia,DEU,Germany,3,1,0,0,0,0,H,Italy,CZE,DEU,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-15,1934-06-03,semi-finals,not applicable,1,ITA,Italy,AUT,Austria,1,0,0,0,0,0,H,Italy,ITA,AUT,ITA,False,ITA,0.012277339903068436
1934,WC-1934,M-1934-16,1934-06-07,third-place match,not applicable,1,DEU,Germany,AUT,Austria,3,2,0,0,0,0,H,Italy,DEU,AUT,ITA,True,,0.012277339903068436
1934,WC-1934,M-1934-17,1934-06-10,final,not applicable,1,ITA,Italy,CSK,Czechoslovakia,2,1,1,0,0,0,H,Italy,ITA,CZE,ITA,False,ITA,0.012277339903068436
1938,WC-1938,M-1938-01,1938-06-04,round of 16,not applicable,1,CHE,Switzerland,DEU,Germany,1,1,1,0,0,0,D,France,CHE,DEU,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-02,1938-06-05,round of 16,not applicable,1,CUB,Cuba,ROU,Romania,3,3,1,0,0,0,D,France,CUB,ROU,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-03,1938-06-05,round of 16,not applicable,1,FRA,France,BEL,Belgium,3,1,0,0,0,0,H,France,FRA,BEL,FRA,False,FRA,0.014995576820477703
1938,WC-1938,M-1938-04,1938-06-05,round of 16,not applicable,1,HUN,Hungary,IDN,Dutch East Indies,6,0,0,0,0,0,H,France,HUN,IDN,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-05,1938-06-05,round of 16,not applicable,1,ITA,Italy,NOR,Norway,2,1,1,0,0,0,H,France,ITA,NOR,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-06,1938-06-05,round of 16,not applicable,1,BRA,Brazil,POL,Poland,6,5,1,0,0,0,H,France,BRA,POL,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-07,1938-06-05,round of 16,not applicable,1,CSK,Czechoslovakia,NLD,Netherlands,3,0,1,0,0,0,H,France,CZE,NLD,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-08,1938-06-09,round of 16,not applicable,1,CUB,Cuba,ROU,Romania,2,1,0,0,0,0,H,France,CUB,ROU,FRA,True,,0.014995576820477703
