date,year,tournament,home_team_iso,away_team_iso,home_team_score,away_team_score,neutral_venue,host_team_iso,elo_home_pre,elo_away_pre
2002-01-04,2002,Prime Minister's Cup,BHR,FIN,0,2,False,BHR,1500.0,1500.0
2002-01-04,2002,Friendly,EGY,GHA,2,0,False,EGY,1500.0,1500.0
2002-01-04,2002,Friendly,MTQ,GLP,1,3,False,MTQ,1500.0,1500.0
2002-01-05,2002,Prime Minister's Cup,ALB,MKD,0,0,True,,1500.0,1500.0
2002-01-05,2002,Friendly,KWT,ZWE,3,0,False,KWT,1500.0,1500.0
2002-01-06,2002,Friendly,CUB,GTM,0,1,False,CUB,1500.0,1500.0
2002-01-06,2002,Friendly,EGY,MLI,1,2,False,EGY,1510.8,1500.0
2002-01-06,2002,Friendly,MTQ,HTI,3,3,False,MTQ,1480.8,1500.0
2002-01-07,2002,Friendly,BFA,CMR,1,3,False,BFA,1500.0,1500.0
2002-01-07,2002,Prime Minister's Cup,BHR,MKD,1,1,False,BHR,1471.2,1500.0
2002-01-07,2002,Prime Minister's Cup,ALB,FIN,1,1,True,,1500.0,1528.8
2002-01-08,2002,Friendly,KWT,ISL,0,0,True,,1512.6,1500.0
2002-01-08,2002,Friendly,QAT,ZWE,0,2,False,QAT,1500.0,1487.4
2002-01-09,2002,Friendly,CUB,GTM,0,0,False,CUB,1487.2,1512.8
2002-01-10,2002,Prime Minister's Cup,BHR,ALB,3,0,False,BHR,1468.2,1501.2
2002-01-10,2002,Prime Minister's Cup,FIN,MKD,3,0,True,,1527.6,1503.0
2002-01-10,2002,Friendly,MLI,ZMB,1,1,False,MLI,1513.1,1500.0
2002-01-10,2002,Friendly,SAU,ISL,1,0,False,SAU,1500.0,1500.4
2002-01-11,2002,Friendly,TUN,CMR,0,1,False,TUN,1500.0,1519.2
2002-01-11,2002,Friendly,IRQ,OMN,2,0,True,,1500.0,1500.0
2002-01-11,2002,Friendly,EGY,BFA,2,2,False,EGY,1497.7,1480.8
2002-01-11,2002,Friendly,GRD,TTO,2,3,False,GRD,1500.0,1500.0
2002-01-12,2002,Friendly,ECU,GTM,1,0,False,ECU,1500.0,1514.9
2002-01-12,2002,Friendly,CIV,NGA,1,1,False,CIV,1500.0,1500.0
2002-01-13,2002,Friendly,MAR,GIN,2,1,False,MAR,1500.0,1500.0
2002-01-13,2002,Friendly,QAT,IRQ,1,3,False,QAT,1480.3,1515.0
2002-01-14,2002,Friendly,DZA,BEN,4,0,False,DZA,1500.0,1500.0
2002-01-15,2002,Friendly,ZAF,AGO,1,0,False,ZAF,1500.0,1500.0
2002-01-16,2002,Gulf Cup,SAU,KWT,1,1,False,SAU,1507.2,1512.2
2002-01-16,2002,Friendly,GMB,MAR,0,2,False,GMB,1500.0,1507.2
2002-01-17,2002,Gulf Cup,ARE,OMN,1,0,True,,1500.0,1485.0
2002-01-17,2002,Gulf Cup,QAT,BHR,1,0,True,,1462.5,1489.4
2002-01-18,2002,Gold Cup,HTI,CAN,0,2,True,,1502.3,1500.0
2002-01-18,2002,Gold Cup,MTQ,CRI,0,2,True,,1478.5,1500.0
2002-01-19,2002,Gold Cup,SLV,MEX,0,1,True,,1500.0,1500.0
2002-01-19,2002,Gulf Cup,KWT,OMN,1,3,True,,1516.2,1470.6
2002-01-19,2002,African Cup of Nations,MLI,LBR,1,1,False,MLI,1509.9,1500.0
2002-01-19,2002,Friendly,KNA,GRD,1,1,False,KNA,1500.0,1487.2
2002-01-19,2002,Gold Cup,USA,KOR,2,1,False,USA,1500.0,1500.0
2002-01-20,2002,Gulf Cup,SAU,BHR,3,1,False,SAU,1503.2,1473.3
2002-01-20,2002,Gulf Cup,ARE,QAT,0,2,True,,1514.4,1478.7
2002-01-20,2002,African Cup of Nations,EGY,SEN,0,1,True,,1494.5,1500.0
2002-01-20,2002,African Cup of Nations,ZAF,BFA,0,0,True,,1507.2,1484.0
2002-01-20,2002,Gold Cup,CRI,TTO,1,1,True,,1535.2,1512.8
2002-01-20,2002,African Cup of Nations,CMR,COD,1,0,True,,1531.5,1500.0
2002-01-20,2002,Gold Cup,ECU,HTI,0,2,True,,1507.6,1464.5
2002-01-20,2002,Friendly,ATG,DMA,4,0,False,ATG,1500.0,1500.0
2002-01-21,2002,African Cup of Nations,DZA,NGA,0,1,True,,1513.5,1502.8
2002-01-21,2002,Gold Cup,MEX,GTM,3,1,True,,1525.0,1507.3
2002-01-21,2002,African Cup of Nations,MAR,GHA,0,0,True,,1526.1,1489.2
2002-01-21,2002,African Cup of Nations,TGO,CIV,0,0,True,,1500.0,1497.2
2002-01-21,2002,Gold Cup,USA,CUB,1,0,False,USA,1518.0,1485.1
2002-01-21,2002,African Cup of Nations,ZMB,TUN,0,0,True,,1503.1,1487.7
2002-01-22,2002,Gulf Cup,KWT,BHR,0,0,True,,1490.8,1458.8
2002-01-22,2002,Gold Cup,TTO,MTQ,0,1,True,,1514.4,1443.3
2002-01-22,2002,Gold Cup,CAN,ECU,0,2,True,,1537.7,1465.5
2002-01-23,2002,Gold Cup,GTM,SLV,0,1,True,,1471.7,1475.0
2002-01-23,2002,Gold Cup,KOR,CUB,0,0,True,,1482.0,1469.2
2002-01-24,2002,African Cup of Nations,MLI,NGA,0,0,False,MLI,1502.3,1528.6
2002-01-24,2002,African Cup of Nations,ZAF,GHA,0,0,True,,1505.5,1491.8
2002-01-24,2002,Gulf Cup,OMN,QAT,1,2,True,,1496.1,1503.5
2002-01-24,2002,Gulf Cup,SAU,ARE,1,0,False,SAU,1517.7,1489.6
2002-01-25,2002,African Cup of Nations,CMR,CIV,1,0,True,,1554.2,1497.4
2002-01-25,2002,African Cup of Nations,EGY,TUN,1,0,True,,1469.9,1488.8
2002-01-25,2002,African Cup of Nations,LBR,DZA,2,2,True,,1507.7,1487.7
2002-01-26,2002,Gulf Cup,KWT,QAT,0,1,True,,1489.4,1518.2
2002-01-26,2002,African Cup of Nations,SEN,ZMB,1,0,True,,1524.6,1502.0
2002-01-26,2002,Gold Cup,CRI,HTI,2,1,True,,1533.6,1506.7
2002-01-26,2002,Gold Cup,CAN,MTQ,1,1,True,,1492.6,1473.4
2002-01-26,2002,African Cup of Nations,BFA,MAR,1,2,True,,1485.7,1523.5
