match_id,year,home_team_iso,away_team_iso,host_team_iso,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,home_shots,away_shots,home_shots_ot,away_shots_ot,home_fouls,away_fouls
3922240,2024,EGY,COD,,2,4,3,3,1,0,20,21,11,9,19,22
3920399,2024,CPV,MOZ,,1,6,1,0,0,0,11,8,5,2,17,15
3920413,2024,GMB,CMR,,7,5,4,0,0,0,15,13,7,3,15,9
3920400,2024,SEN,CMR,,8,9,1,3,0,0,5,5,3,1,14,14
3920409,2024,GNB,NGA,,3,2,0,3,0,0,12,11,5,1,17,20
3920417,2024,NAM,MLI,,9,3,1,0,0,0,5,11,0,2,14,15
3920395,2024,COD,ZMB,,7,0,1,1,0,0,27,3,7,1,11,13
3920407,2024,ZAF,NAM,,6,2,1,0,0,0,12,4,8,1,20,13
3920412,2024,GIN,SEN,,0,6,2,2,0,0,4,12,1,2,18,14
3920415,2024,MRT,DZA,,5,6,3,3,0,0,17,16,7,5,20,15
3920404,2024,TUN,MLI,,3,4,2,0,0,0,5,12,1,1,13,13
3920389,2024,CMR,GIN,,5,0,2,1,0,1,13,6,2,2,14,15
3920393,2024,TUN,NAM,,8,7,0,0,0,0,9,13,3,4,11,13
3920403,2024,MRT,AGO,,6,11,2,1,0,0,14,20,5,6,13,16
3920394,2024,MAR,TZA,,5,2,2,4,0,1,15,2,7,0,14,16
3920402,2024,DZA,BFA,,4,1,2,5,0,0,15,7,5,3,13,18
3920414,2024,AGO,BFA,,1,6,3,1,0,0,6,20,5,3,15,10
3920405,2024,MAR,COD,,3,5,3,1,0,0,11,11,4,2,17,17
3920416,2024,ZAF,TUN,,5,6,0,0,0,0,11,11,2,2,14,12
3922658,2024,CPV,ZAF,,10,4,1,0,0,0,30,20,6,9,19,15
3920386,2024,NGA,GNQ,,2,3,1,2,0,0,19,8,6,1,13,12
3920408,2024,GNQ,CIV,,1,11,3,2,0,0,10,22,7,3,23,21
3920397,2024,GNQ,GNB,,2,7,2,0,0,0,8,12,6,3,15,11
3920410,2024,MOZ,GHA,,6,3,4,5,0,0,14,8,4,4,10,33
3923881,2024,NGA,CIV,,4,5,2,3,0,0,5,18,1,7,19,15
3923880,2024,ZAF,COD,,2,1,0,1,0,0,13,20,9,10,7,13
3922838,2024,CIV,COD,,6,6,0,0,0,0,14,7,2,1,14,17
3922837,2024,NGA,ZAF,,5,4,2,0,0,1,19,18,10,9,22,11
3922242,2024,SEN,CIV,,6,2,4,3,0,0,18,13,8,9,25,26
3922239,2024,GNQ,GIN,,2,2,0,1,1,0,5,10,0,4,12,18
3922659,2024,MLI,CIV,,10,2,3,5,1,2,11,11,4,3,31,19
3922244,2024,MLI,BFA,,1,2,1,3,0,0,14,8,4,4,19,18
3922356,2024,COD,GIN,,3,4,1,2,0,0,13,7,3,3,16,18
3922321,2024,NGA,AGO,,4,7,1,3,0,0,13,10,3,2,18,20
3922237,2024,AGO,NAM,,6,3,0,2,1,1,11,12,4,4,15,20
3922243,2024,MAR,ZAF,,6,2,1,3,1,0,13,5,2,3,13,17
3922241,2024,CPV,MRT,,11,1,1,1,0,0,18,11,4,0,18,14
3922238,2024,NGA,CMR,,3,1,2,2,0,0,8,6,4,0,20,19
3920396,2024,EGY,GHA,,3,4,0,1,0,0,11,6,5,3,14,20
3920385,2024,EGY,MOZ,,7,2,1,3,0,0,22,6,5,2,9,9
3920387,2024,GHA,CPV,,2,5,3,3,0,0,11,15,1,5,17,15
3920419,2024,ZMB,MAR,,3,7,0,1,0,0,11,19,2,7,10,17
3920418,2024,TZA,COD,,1,4,0,1,0,0,4,9,0,3,5,9
3920411,2024,CPV,EGY,,4,8,1,2,0,0,6,27,3,7,9,11
3920406,2024,ZMB,TZA,,5,3,2,0,1,0,11,6,4,2,18,9
3920401,2024,GIN,GMB,,7,5,2,2,0,0,16,7,5,0,12,19
3920398,2024,CIV,NGA,,5,6,0,1,0,0,14,11,3,1,16,19
3920392,2024,BFA,MRT,,3,4,3,2,0,0,11,9,5,4,21,13
3920391,2024,MLI,ZAF,,2,3,3,2,0,0,16,12,6,5,14,12
3920390,2024,DZA,AGO,,14,2,4,1,0,0,16,7,3,1,13,19
3920388,2024,SEN,GMB,,6,4,2,0,0,1,14,12,6,2,20,13
3920384,2024,CIV,GNB,,6,2,2,1,0,0,10,10,3,3,12,13
3939991,2024,BRA,COL,,6,5,3,2,0,0,7,13,3,6,16,20
