openfootball_name,iso_code,country_full
Algeria,DZA,Algeria
Argentina,ARG,Argentina
Australia,AUS,Australia
Austria,AUT,Austria
Belgium,BEL,Belgium
Bosnia & Herzegovina,BIH,Bosnia and Herzegovina
Brazil,BRA,Brazil
Canada,CAN,Canada
Cape Verde,CPV,Cape Verde
Colombia,COL,Colombia
Croatia,HRV,Croatia
Curaçao,CUW,Curacao
Czech Republic,CZE,Czechia
DR Congo,COD,DR Congo
Ecuador,ECU,Ecuador
Egypt,EGY,Egypt
England,ENG,England
France,FRA,France
Germany,DEU,Germany
Ghana,GHA,Ghana
Haiti,HTI,Haiti
Iran,IRN,Iran
Iraq,IRQ,Iraq
Ivory Coast,CIV,Cote d'Ivoire
Japan,JPN,Japan
Jordan,JOR,Jordan
Mexico,MEX,Mexico
Morocco,MAR,Morocco
Netherlands,NLD,Netherlands
New Zealand,NZL,New Zealand
Norway,NOR,Norway
Panama,PAN,Panama
Paraguay,PRY,Paraguay
Portugal,PRT,Portugal
Qatar,QAT,Qatar
Saudi Arabia,SAU,Saudi Arabia
Scotland,SCO,Scotland
Senegal,SEN,Senegal
South Africa,ZAF,South Africa
South Korea,KOR,South Korea
Spain,ESP,Spain
Sweden,SWE,Sweden
Switzerland,CHE,Switzerland
Tunisia,TUN,Tunisia
Turkey,TUR,Turkey
USA,USA,United States
Uruguay,URY,Uruguay
Uzbekistan,UZB,Uzbekistan
