match_no,round,match_date,ground,slot_a,slot_b,team_a,team_b,winner
73,Round of 32,2026-06-28,,CAN,ZAF,CAN,ZAF,CAN
74,Round of 32,2026-06-29,,BRA,JPN,BRA,JPN,BRA
75,Round of 32,2026-06-29,,DEU,PRY,DEU,PRY,PRY
76,Round of 32,2026-06-29,,NLD,MAR,NLD,MAR,MAR
77,Round of 32,2026-06-30,,CIV,NOR,CIV,NOR,NOR
78,Round of 32,2026-06-30,,FRA,SWE,FRA,SWE,FRA
79,Round of 32,2026-06-30,,MEX,ECU,MEX,ECU,MEX
80,Round of 32,2026-07-01,,ENG,COD,ENG,COD,ENG
81,Round of 32,2026-07-01,,USA,BIH,USA,BIH,USA
82,Round of 32,2026-07-01,,BEL,SEN,BEL,SEN,BEL
83,Round of 32,2026-07-02,,PRT,HRV,PRT,HRV,PRT
84,Round of 32,2026-07-02,,ESP,AUT,ESP,AUT,ESP
85,Round of 32,2026-07-02,,CHE,DZA,CHE,DZA,CHE
86,Round of 32,2026-07-03,,ARG,CPV,ARG,CPV,ARG
87,Round of 32,2026-07-03,,COL,GHA,COL,GHA,COL
88,Round of 32,2026-07-03,,EGY,AUS,EGY,AUS,EGY
89,Round of 16,2026-07-04,,MAR,CAN,MAR,CAN,MAR
90,Round of 16,2026-07-04,,FRA,PRY,FRA,PRY,FRA
91,Round of 16,2026-07-05,,NOR,BRA,NOR,BRA,NOR
92,Round of 16,2026-07-05,,ENG,MEX,ENG,MEX,ENG
