player_name,position,club,iso_code,team_name,player_norm
Matěj Kovář,1 GK,PSV Eindhoven,CZE,Czech Republic,matej kovar
David Zima,2 DF,Slavia Prague,CZE,Czech Republic,david zima
Tomáš Holeš,2 DF,Slavia Prague,CZE,Czech Republic,tomas holes
Robin Hranáč,2 DF,TSG Hoffenheim,CZE,Czech Republic,robin hranac
Vladimír Coufal,2 DF,TSG Hoffenheim,CZE,Czech Republic,vladimir coufal
Štěpán Chaloupek,2 DF,Slavia Prague,CZE,Czech Republic,stepan chaloupek
Ladislav Krejčí ( captain ),2 DF,Wolverhampton Wanderers,CZE,Czech Republic,ladislav krejci
Vladimír Darida,3 MF,Hradec Králové,CZE,Czech Republic,vladimir darida
Adam Hložek,4 FW,TSG Hoffenheim,CZE,Czech Republic,adam hlozek
Patrik Schick,4 FW,Bayer Leverkusen,CZE,Czech Republic,patrik schick
Jan Kuchta,4 FW,Sparta Prague,CZE,Czech Republic,jan kuchta
Lukáš Červ,3 MF,Viktoria Plzeň,CZE,Czech Republic,lukas cerv
Mojmír Chytil,4 FW,Slavia Prague,CZE,Czech Republic,mojmir chytil
David Jurásek,2 DF,Slavia Prague,CZE,Czech Republic,david jurasek
Pavel Šulc,4 FW,Lyon,CZE,Czech Republic,pavel sulc
Jindřich Staněk,1 GK,Slavia Prague,CZE,Czech Republic,jindrich stanek
Lukáš Provod,3 MF,Slavia Prague,CZE,Czech Republic,lukas provod
Michal Sadílek,3 MF,Slavia Prague,CZE,Czech Republic,michal sadilek
Tomáš Chorý,4 FW,Slavia Prague,CZE,Czech Republic,tomas chory
Jaroslav Zelený,2 DF,Sparta Prague,CZE,Czech Republic,jaroslav zeleny
David Douděra,2 DF,Slavia Prague,CZE,Czech Republic,david doudera
Tomáš Souček,3 MF,West Ham United,CZE,Czech Republic,tomas soucek
Lukáš Horníček,1 GK,Braga,CZE,Czech Republic,lukas hornicek
Alexandr Sojka,3 MF,Viktoria Plzeň,CZE,Czech Republic,alexandr sojka
Hugo Sochůrek,3 MF,Sparta Prague,CZE,Czech Republic,hugo sochurek
Denis Višinský,4 FW,Viktoria Plzeň,CZE,Czech Republic,denis visinsky
Raúl Rangel,1 GK,Guadalajara,MEX,Mexico,raul rangel
Jorge Sánchez,2 DF,PAOK,MEX,Mexico,jorge sanchez
César Montes,2 DF,Lokomotiv Moscow,MEX,Mexico,cesar montes
Edson Álvarez ( captain ),2 DF,Fenerbahçe,MEX,Mexico,edson alvarez
Johan Vásquez,2 DF,Genoa,MEX,Mexico,johan vasquez
Érik Lira,3 MF,Cruz Azul,MEX,Mexico,erik lira
Luis Romo,3 MF,Guadalajara,MEX,Mexico,luis romo
Álvaro Fidalgo,3 MF,Real Betis,MEX,Mexico,alvaro fidalgo
Raúl Jiménez,4 FW,Fulham,MEX,Mexico,raul jimenez
Alexis Vega,4 FW,Toluca,MEX,Mexico,alexis vega
Santiago Giménez,4 FW,Milan,MEX,Mexico,santiago gimenez
Carlos Acevedo,1 GK,Santos Laguna,MEX,Mexico,carlos acevedo
Guillermo Ochoa,1 GK,AEL Limassol,MEX,Mexico,guillermo ochoa
Armando González,4 FW,Guadalajara,MEX,Mexico,armando gonzalez
Israel Reyes,2 DF,América,MEX,Mexico,israel reyes
Julián Quiñones,4 FW,Al-Qadsiah,MEX,Mexico,julian quinones
Orbelín Pineda,3 MF,AEK Athens,MEX,Mexico,orbelin pineda
Obed Vargas,3 MF,Atlético Madrid,MEX,Mexico,obed vargas
Gilberto Mora,3 MF,Tijuana,MEX,Mexico,gilberto mora
Mateo Chávez,2 DF,AZ,MEX,Mexico,mateo chavez
César Huerta,4 FW,Anderlecht,MEX,Mexico,cesar huerta
Guillermo Martínez,4 FW,UNAM,MEX,Mexico,guillermo martinez
Jesús Gallardo,2 DF,Toluca,MEX,Mexico,jesus gallardo
Luis Chávez,3 MF,Dynamo Moscow,MEX,Mexico,luis chavez
Roberto Alvarado,4 FW,Guadalajara,MEX,Mexico,roberto alvarado
Brian Gutiérrez,3 MF,Guadalajara,MEX,Mexico,brian gutierrez
Ronwen Williams ( captain ),1 GK,Mamelodi Sundowns,ZAF,South Africa,ronwen williams
Thabang Matuludi,2 DF,Polokwane City,ZAF,South Africa,thabang matuludi
Khulumani Ndamane,2 DF,Mamelodi Sundowns,ZAF,South Africa,khulumani ndamane
Teboho Mokoena,3 MF,Mamelodi Sundowns,ZAF,South Africa,teboho mokoena
Thalente Mbatha,3 MF,Orlando Pirates,ZAF,South Africa,thalente mbatha
Aubrey Modiba,2 DF,Mamelodi Sundowns,ZAF,South Africa,aubrey modiba
Oswin Appollis,4 FW,Orlando Pirates,ZAF,South Africa,oswin appollis
Tshepang Moremi,4 FW,Orlando Pirates,ZAF,South Africa,tshepang moremi
Lyle Foster,4 FW,Burnley,ZAF,South Africa,lyle foster
Relebohile Mofokeng,4 FW,Orlando Pirates,ZAF,South Africa,relebohile mofokeng
Themba Zwane,3 MF,Mamelodi Sundowns,ZAF,South Africa,themba zwane
Thapelo Maseko,4 FW,AEL Limassol,ZAF,South Africa,thapelo maseko
Sphephelo Sithole,3 MF,Tondela,ZAF,South Africa,sphephelo sithole
Mbekezeli Mbokazi,2 DF,Chicago Fire FC,ZAF,South Africa,mbekezeli mbokazi
Iqraam Rayners,4 FW,Mamelodi Sundowns,ZAF,South Africa,iqraam rayners
Sipho Chaine,1 GK,Orlando Pirates,ZAF,South Africa,sipho chaine
Evidence Makgopa,4 FW,Orlando Pirates,ZAF,South Africa,evidence makgopa
Samukele Kabini,2 DF,Molde,ZAF,South Africa,samukele kabini
Nkosinathi Sibisi,2 DF,Orlando Pirates,ZAF,South Africa,nkosinathi sibisi
Khuliso Mudau,2 DF,Mamelodi Sundowns,ZAF,South Africa,khuliso mudau
Ime Okon,2 DF,Hannover 96,ZAF,South Africa,ime okon
Ricardo Goss,1 GK,Siwelele,ZAF,South Africa,ricardo goss
Jayden Adams,3 MF,Mamelodi Sundowns,ZAF,South Africa,jayden adams
